Species	Day	ASV	log2FoldChange	lfcSE	pvalue	padj	ASV_count	count_per_group	Significance
Epibolus pulchripes	14 d	Seq_1064	2.240599614881236	0.8700369321515876	1.4942184305074332e-5	1.2376354676930254e-4	3	3	Pass
Epibolus pulchripes	14 d	Seq_1066	0.2035373535420006	0.4669633272357264	0.10376803110017643	0.35863687941639927	5	2	Fail
Epibolus pulchripes	14 d	Seq_1070	2.1741103515972258	1.5332281235574294	0.0016873351832872357	0.009233473086321818	12	3	Pass
Epibolus pulchripes	14 d	Seq_1078	1.8598239621502275	0.8640892057096884	2.4505575500915755e-10	3.5109806354039303e-9	8	3	Pass
Epibolus pulchripes	14 d	Seq_1079	1.3834270368078538	1.3527068647533342	0.003977923310365954	0.019714487852631267	12	3	Pass
Epibolus pulchripes	14 d	Seq_108	-0.3539194543780564	1.0315288725425396	0.726979140160796	1	3	3	Fail
Epibolus pulchripes	14 d	Seq_1080	-0.7312402989633927	1.1634282824820132	0.8752366049451121	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1081	-2.749416360720386	1.9046231067915915	0.9954097592665434	1	3	2	Fail
Epibolus pulchripes	14 d	Seq_1082	0.059447371618526215	0.9759452889073975	Inf	Inf	6	1	Fail
Epibolus pulchripes	14 d	Seq_1083	2.3911837546044814	1.4788778759791434	9.883901288947163e-4	0.00576926978940027	11	3	Pass
Epibolus pulchripes	14 d	Seq_1084	-6.920614386945809	2.295078626145195	0.9862468903645111	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1085	-1.3778152472333127	1.2304059980524251	0.9774599783635267	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1087	-0.08476164506780151	0.9354143520086764	0.550800660145431	1	7	2	Fail
Epibolus pulchripes	14 d	Seq_1088	-1.1001494953567568	1.2250006620226706	0.836246396265652	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_109	-0.01405998818029125	0.40827901527480753	7.652941511235125e-21	3.769073694283299e-19	11	3	Pass
Epibolus pulchripes	14 d	Seq_1093	-2.8736723668640916	1.6524410034998032	0.9658594624798895	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1099	-0.6452154526604772	1.1016780869195473	0.42543102615903167	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_11	0.471840230403153	0.47283980255598007	0.0560152593777822	0.20206719147746907	12	3	Fail
Epibolus pulchripes	14 d	Seq_1103	1.2527832471241251	0.4869868773801998	0.0019265080184345863	0.010820113528194251	3	1	Pass
Epibolus pulchripes	14 d	Seq_1104	-7.079347337757919	2.2541558182365473	0.5750521571976823	1	7	2	Fail
Epibolus pulchripes	14 d	Seq_1106	0.13778880663167642	0.856707292496588	0.05630262566095956	0.20206719147746907	10	2	Fail
Epibolus pulchripes	14 d	Seq_1108	-1.3084973490864713	0.6900171477262058	0.849398222052459	1	4	2	Fail
Epibolus pulchripes	14 d	Seq_1110	2.5292747997234626	1.7429366075829182	0.0010433512411064706	0.006001173561984662	11	3	Pass
Epibolus pulchripes	14 d	Seq_1112	-0.43127157477915035	1.2654411975162911	0.7008312222719502	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1116	-1.6181669436622812	1.92037658137115	0.9859501054050981	1	6	2	Fail
Epibolus pulchripes	14 d	Seq_1119	-0.768968426902032	0.8104984633410329	0.5057766405541094	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_112	3.2751676142490727	1.4940616829599236	1.7164854353403406e-5	1.3752047212300714e-4	11	3	Pass
Epibolus pulchripes	14 d	Seq_1120	1.3913598895750976	1.486442603505415	0.0064328787764804	0.031969458161902595	4	2	Pass
Epibolus pulchripes	14 d	Seq_1122	-15.51892001391931	3.6471348955605425	1	1	6	2	Fail
Epibolus pulchripes	14 d	Seq_1125	1.065067842765227	0.9892086072259718	1.2367447962028405e-4	8.5943282447994e-4	8	3	Pass
Epibolus pulchripes	14 d	Seq_1127	-2.69506206911181	1.4790141115231905	0.889449446147005	1	8	3	Fail
Epibolus pulchripes	14 d	Seq_1128	-1.3668322673496451	1.305262851452555	0.7905797003897258	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_113	-2.5292056467882973	0.5533901321021559	0.987600981322248	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1130	-16.705904935273647	3.766650430037088	1	1	2	1	Fail
Epibolus pulchripes	14 d	Seq_1131	-0.7651405088882939	1.4740943590596656	0.1850117364069337	0.5418200851917343	9	2	Fail
Epibolus pulchripes	14 d	Seq_1132	0.026185753408621275	0.9786075514758421	Inf	Inf	2	2	Fail
Epibolus pulchripes	14 d	Seq_1135	0.29211251972162394	0.991868977118465	0.12913107659360018	0.407259549256739	6	3	Fail
Epibolus pulchripes	14 d	Seq_1136	-0.6958666498015034	1.4112044946540392	0.7703625812107686	1	6	3	Fail
Epibolus pulchripes	14 d	Seq_1138	0.9649915530202373	1.231557680978014	0.007642954535284703	0.036866015993726214	8	3	Pass
Epibolus pulchripes	14 d	Seq_1146	-0.06441582414812483	0.933714653677932	Inf	Inf	5	1	Fail
Epibolus pulchripes	14 d	Seq_1148	0.25469113719553427	0.6955342597644201	0.1092762330618317	0.7237448974325931	9	3	Fail
Epibolus pulchripes	14 d	Seq_1149	-16.142550932141155	3.7639215332067666	1	1	3	1	Fail
Epibolus pulchripes	14 d	Seq_1151	-2.826981417098298	1.5093701977543423	0.9755455124637189	1	5	2	Fail
Epibolus pulchripes	14 d	Seq_1157	-16.397570878500545	3.742383043093313	1	1	4	1	Fail
Epibolus pulchripes	14 d	Seq_1158	0.9746272312256463	1.498957722428651	0.016251913972633942	0.07126507731315418	8	2	Pass
Epibolus pulchripes	14 d	Seq_116	0.15252055052347818	0.4774098174152449	0.0015496984746796298	0.019621917451458255	12	3	Pass
Epibolus pulchripes	14 d	Seq_1163	-0.3052981655723563	1.0494221219277466	0.6845425615111069	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1167	0.23101680615030215	1.0670818126681247	0.01890503182225207	0.0796639843632868	9	3	Pass
Epibolus pulchripes	14 d	Seq_1169	-1.85382796534661	1.7602196876693568	0.8931122972820619	1	9	2	Fail
Epibolus pulchripes	14 d	Seq_1171	0.3119044227215105	1.128310689347799	0.033928628030330574	0.13185533168185343	8	3	Fail
Epibolus pulchripes	14 d	Seq_1172	0.47083746724951425	0.9534185836500184	0.11829750627471608	0.37892169978619994	10	2	Fail
Epibolus pulchripes	14 d	Seq_1177	0.2637433461734756	1.0003935431680913	0.06158627932720975	0.21767564244962068	9	3	Fail
Epibolus pulchripes	14 d	Seq_1179	-2.652485918407199	1.1545343357420323	0.8873251568433528	1	5	3	Fail
Epibolus pulchripes	14 d	Seq_118	5.709556644620179	0.7067271305322782	2.4914729417779155e-23	1.636067231767498e-21	9	3	Pass
Epibolus pulchripes	14 d	Seq_1180	-1.5655843214215357	1.191460726741077	0.8580497024402218	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1181	1.0697554270644531	1.6881479069916763	0.009491890029403776	0.0439977020186481	9	3	Pass
Epibolus pulchripes	14 d	Seq_1183	5.5536722365554985	2.2592907549350665	5.72897581813254e-5	4.390430066232414e-4	3	3	Pass
Epibolus pulchripes	14 d	Seq_1184	-16.84228151268495	3.771106294726561	1	1	4	2	Fail
Epibolus pulchripes	14 d	Seq_1187	-14.80513204603761	3.580916523076695	1	1	6	1	Fail
Epibolus pulchripes	14 d	Seq_1188	-1.400854473598352	1.4460756021391716	0.9661472718309212	1	4	2	Fail
Epibolus pulchripes	14 d	Seq_1189	-1.3008513680215823	1.8376626818722726	0.9850517604339808	1	3	1	Fail
Epibolus pulchripes	14 d	Seq_1190	0.37951781838593507	0.8054737340973034	0.11295000879068472	0.36464176066284043	6	2	Fail
Epibolus pulchripes	14 d	Seq_1191	1.0834960737703485	0.6140422841026406	1.6880740375782198e-5	1.370515555261525e-4	8	3	Pass
Epibolus pulchripes	14 d	Seq_1195	0.021832212752078188	0.9755493624670579	0.37375878463979784	0.9372544446624901	6	2	Fail
Epibolus pulchripes	14 d	Seq_1196	11.907471087210823	3.5383156852432003	3.696646424344603e-22	2.240736447987344e-20	6	3	Pass
Epibolus pulchripes	14 d	Seq_120	-0.2285451440272756	0.3210265319874908	0.647805822293976	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1203	1.6372774633516085	0.9353428127441098	9.27181256235227e-5	6.728217965600761e-4	6	2	Pass
Epibolus pulchripes	14 d	Seq_1204	-0.08573449104175893	0.7221977150961202	0.24512207846487194	0.7234314525480116	11	3	Fail
Epibolus pulchripes	14 d	Seq_1205	0.17629115791052238	0.5475167219766532	0.3533937276649729	0.9055714271414931	2	1	Fail
Epibolus pulchripes	14 d	Seq_1207	6.552147501560678	1.8276796193798763	1.7553084326241403e-7	4.318058744255385e-6	4	3	Pass
Epibolus pulchripes	14 d	Seq_1209	-0.8929376787106336	1.0065609402875677	0.9815382749432916	1	10	2	Fail
Epibolus pulchripes	14 d	Seq_1213	-0.2764827800107435	1.0693259829831177	0.8359856200672889	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1214	-7.790134007064605	2.1725697496978746	0.7985572831767346	1	6	2	Fail
Epibolus pulchripes	14 d	Seq_122	-2.8759304668751735	0.4939249066864133	0.9999573071866504	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1222	-3.6661417598615986	1.5922372850650885	0.999318063560624	1	5	3	Fail
Epibolus pulchripes	14 d	Seq_1227	-2.6650478988544064	1.2778640234418024	0.9183617591636237	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1230	0.15794648757112728	0.9514265917193995	0.24475811613186416	0.762436888050122	8	3	Fail
Epibolus pulchripes	14 d	Seq_1234	-1.8493301190441176	1.1632909316395623	0.9654789259099976	1	8	3	Fail
Epibolus pulchripes	14 d	Seq_1235	-0.8797198295843267	0.9452503253307025	0.7012505484153403	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1236	1.0618001794933871	1.3144890799376885	0.005780610113719325	0.029441616728259918	5	3	Pass
Epibolus pulchripes	14 d	Seq_1237	-0.14970680670710657	1.0011532007308328	0.5417881205144782	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1239	-6.154240372216041	1.9886297775954547	Inf	Inf	3	1	Fail
Epibolus pulchripes	14 d	Seq_1241	1.6219860818255312	0.4677939216518988	7.843220401086722e-5	5.618597887323943e-4	5	1	Pass
Epibolus pulchripes	14 d	Seq_1242	-6.99297604057318	2.209868558645992	0.7467173851841323	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1243	0.6571716504282474	0.5836582797432915	1.159315922241259e-9	1.7936585966751552e-8	4	2	Pass
Epibolus pulchripes	14 d	Seq_1249	-1.5477841659631801	1.6587225550031819	0.9608577902587487	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_125	-1.8958353926590734	1.0004890059096136	0.8321674152723961	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1251	1.5193293520449618	0.6541696904668892	0.002995358378832502	0.016053554710082688	4	1	Pass
Epibolus pulchripes	14 d	Seq_1253	-0.23647747937935235	0.9730733675610889	0.2844799814935961	0.764831425654914	8	3	Fail
Epibolus pulchripes	14 d	Seq_126	-1.2846855182137955	0.6954472804587686	0.920297789283576	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1260	-4.002159227978611	2.0496271614845183	0.17708406631307388	0.5261193274518862	8	3	Fail
Epibolus pulchripes	14 d	Seq_1262	-0.09866206363156463	0.9628291220021675	0.6182049910262721	1	3	1	Fail
Epibolus pulchripes	14 d	Seq_1264	-13.942584622690159	4.256599702784676	0.9999999905365178	1	3	2	Fail
Epibolus pulchripes	14 d	Seq_1265	0.07989082184382687	1.0658880966809818	0.04324906700882824	0.16342965413474267	9	3	Fail
Epibolus pulchripes	14 d	Seq_1269	-0.015035169280311714	0.8869223559719431	0.12094736583909828	0.41080398397073037	12	3	Fail
Epibolus pulchripes	14 d	Seq_127	-4.336564991996663	0.8681064895217874	0.9999994444534717	1	12	3	Fail
Epibolus pulchripes	14 d	Seq_1270	1.1954138475288698	0.9641222866392504	4.780606690893827e-5	8.23220472171917e-4	7	3	Pass
Epibolus pulchripes	14 d	Seq_1272	-0.5437804609617383	1.3583541767363339	0.5960762244390918	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1276	-8.187721946895481	2.6022582335857827	0.96848112392394	1	7	2	Fail
Epibolus pulchripes	14 d	Seq_1281	-1.4961110702293117	1.5865451565441773	0.9542923346016527	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1282	-11.779456235133196	3.064053710871702	0.9994834111268271	1	6	3	Fail
Epibolus pulchripes	14 d	Seq_1283	-0.6774009501080989	0.7918541166718919	0.8946844425838618	1	9	1	Fail
Epibolus pulchripes	14 d	Seq_1285	-0.044659746837209933	0.9377019534187567	0.2930055370108756	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1286	-0.24097137389316547	0.9258474815530741	0.6007049873163574	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1287	-0.0967572016129028	0.7817586915078305	0.1999412556241973	0.5762879054612347	8	3	Fail
Epibolus pulchripes	14 d	Seq_1288	-0.3470121235937737	1.067241809753404	0.8828386456417185	Inf	7	1	Fail
Epibolus pulchripes	14 d	Seq_129	2.359157630529802	0.5945555782120444	1.2800611447630741e-23	1.0086881820733024e-21	9	3	Pass
Epibolus pulchripes	14 d	Seq_1290	-0.3901505380430506	0.5944000118683787	0.4652341787219395	1	8	3	Fail
Epibolus pulchripes	14 d	Seq_1295	-0.2769151536818759	1.1846978107060704	0.010960135814164764	0.05106426913417674	8	2	Pass
Epibolus pulchripes	14 d	Seq_1297	0.33908358810419326	0.6985753102987114	0.0843591814825637	0.2906492807382447	10	2	Fail
Epibolus pulchripes	14 d	Seq_1299	0.05094813784463346	0.8981996392501961	0.38788439809673647	1	5	3	Fail
Epibolus pulchripes	14 d	Seq_1302	-1.4441783292376773	1.5266648182197027	0.8102300111916069	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1309	-0.505547265937991	1.2044868547714775	0.5846120495044062	1	8	3	Fail
Epibolus pulchripes	14 d	Seq_131	-1.415218830805145	1.3568077219650314	0.16709190033267018	0.9853844259344454	9	3	Fail
Epibolus pulchripes	14 d	Seq_1310	-10.47301892093679	2.8963031898869125	0.9998535422101985	1	7	2	Fail
Epibolus pulchripes	14 d	Seq_1312	-0.31648910191933183	0.9225275760385943	0.7083871459928481	1	9	2	Fail
Epibolus pulchripes	14 d	Seq_1313	-0.07070128651799329	0.9767911034468063	0.6016189663916136	Inf	8	1	Fail
Epibolus pulchripes	14 d	Seq_1314	3.0657580553583994	0.8882356037383288	1.4076955266864888e-12	2.4114436413672895e-11	11	3	Pass
Epibolus pulchripes	14 d	Seq_132	5.687336580527566	0.6376446391883732	1.0633220533866343e-22	1.8310405759317842e-20	6	2	Pass
Epibolus pulchripes	14 d	Seq_1322	-1.996582890738338	1.9553789522757434	0.9918843523644946	1	1	1	Fail
Epibolus pulchripes	14 d	Seq_1325	0.208043559625347	1.017233225582088	0.09508657896248897	0.3195532571690203	8	3	Fail
Epibolus pulchripes	14 d	Seq_1328	-0.5429480525786801	0.9872977921264762	0.8619943971268978	1	2	1	Fail
Epibolus pulchripes	14 d	Seq_133	-1.285149689221465	0.39987455585247744	0.9958566401946437	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1330	0.21293896336669868	0.9001619329873067	0.23236380618737634	0.6602402317244775	12	3	Fail
Epibolus pulchripes	14 d	Seq_1333	-1.2887384451198716	0.8512813361801369	0.9664550698194488	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1334	1.3990285381345677	1.5999793258522739	0.0028578161802485036	0.014623111363868967	7	3	Pass
Epibolus pulchripes	14 d	Seq_1335	-0.9817770223087684	1.1305111002050856	0.9464094936349523	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1338	-1.0815212824049671	1.1300788979480147	0.9395363981489823	1	9	2	Fail
Epibolus pulchripes	14 d	Seq_134	-2.1012711945338007	1.9463219797573301	0.9856087420903102	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1342	12.332276494695313	3.264075517999934	8.999983391666443e-18	2.727687274089676e-16	1	1	Pass
Epibolus pulchripes	14 d	Seq_1344	2.8732285579400636	0.73364597995431	6.739654625921809e-8	7.081130460301847e-7	4	2	Pass
Epibolus pulchripes	14 d	Seq_1345	-0.022039748489801936	0.8973189241179417	0.4269214216272422	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1346	-9.26109597378219	2.282681381035977	0.999883175257631	1	6	2	Fail
Epibolus pulchripes	14 d	Seq_1347	-0.9106508618298783	0.9197295289765194	0.7601898378626947	1	5	3	Fail
Epibolus pulchripes	14 d	Seq_1349	0.0233968236976837	0.9443633629375736	0.24499977845063622	0.7234314525480116	3	3	Fail
Epibolus pulchripes	14 d	Seq_135	5.118808028753133	0.47277243750508	7.279286647826318e-39	9.560129797478565e-37	12	3	Pass
Epibolus pulchripes	14 d	Seq_1351	-5.383883807766685	1.7971991774488076	0.9999358028975573	1	8	2	Fail
Epibolus pulchripes	14 d	Seq_1357	-0.7624181879323908	1.1178354823873071	0.009767855885863212	0.0462985076670973	11	3	Pass
Epibolus pulchripes	14 d	Seq_1359	-1.8304188131663623	1.9982393359111466	0.9836855506632695	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1361	-5.6773318539516175	2.459598863890323	0.9600138939325847	1	6	3	Fail
Epibolus pulchripes	14 d	Seq_1367	-0.9661208940348796	1.3762455042241761	0.944452962660318	1	7	2	Fail
Epibolus pulchripes	14 d	Seq_1368	0.46557395529271217	1.1461561355653693	0.04160082354979134	0.15990950710846621	4	2	Fail
Epibolus pulchripes	14 d	Seq_1371	-0.42146357805276863	0.9174288716662342	0.7145914716125545	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1372	-0.2874640887025171	1.0820797852215744	0.015949106102341973	0.15967651574553998	9	3	Fail
Epibolus pulchripes	14 d	Seq_1375	-1.980036902136032	2.830719202321263	0.9613013080864361	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1376	1.3923710723352962	1.124380557075669	4.903406146925443e-4	0.002927184881649431	4	2	Pass
Epibolus pulchripes	14 d	Seq_1378	-2.977363667662104	1.7966558685125906	0.9601362860774206	1	4	3	Fail
Epibolus pulchripes	14 d	Seq_1379	-3.653367769608657	1.3106302933195555	0.9945016534863196	1	3	2	Fail
Epibolus pulchripes	14 d	Seq_138	-0.3759737423290961	1.0021927949354468	0.8240553426268625	1	2	2	Fail
Epibolus pulchripes	14 d	Seq_1380	0.8366081125912179	1.0050769380619795	0.005252410324767931	0.02539202046574926	11	3	Pass
Epibolus pulchripes	14 d	Seq_1383	-7.238077825737803	2.4808525496376896	1	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1385	-0.7639697501432715	0.6643868698149333	0.1802537013084046	0.5316835793988912	6	2	Fail
Epibolus pulchripes	14 d	Seq_1387	-2.613346300208079	1.4194133081711895	0.988178420916482	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1389	4.169759743335978	1.8899517203556546	6.847012620787988e-14	1.5595973191794863e-12	6	3	Pass
Epibolus pulchripes	14 d	Seq_139	5.15193225620978	0.69361657385276	1.8995847787221777e-49	7.48436402816538e-47	9	3	Pass
Epibolus pulchripes	14 d	Seq_1391	1.6500077807652487	1.5214721680213226	0.0013043862360263927	0.007394650028696385	8	3	Pass
Epibolus pulchripes	14 d	Seq_1392	-0.017079197276359454	0.9752995492291019	Inf	Inf	3	1	Fail
Epibolus pulchripes	14 d	Seq_1396	0.22188757860155145	1.0163849980992614	0.07212122565723166	0.2559978640445881	6	2	Fail
Epibolus pulchripes	14 d	Seq_1397	-8.09415903593432	2.459564175516868	1	1	5	2	Fail
Epibolus pulchripes	14 d	Seq_1399	-1.6564738236003553	0.7214438295918595	0.9573364612950829	1	9	2	Fail
Epibolus pulchripes	14 d	Seq_1401	-8.249439136698392	2.4066357231879887	0.9254140520613265	1	5	2	Fail
Epibolus pulchripes	14 d	Seq_1403	-13.897457262180827	3.6084009760243667	0.999999999999999	1	4	1	Fail
Epibolus pulchripes	14 d	Seq_1405	0.18971201348638256	0.9044141904481086	0.0027536362806486487	0.01418212672647801	9	3	Pass
Epibolus pulchripes	14 d	Seq_1406	-0.6017216042243164	0.9315649307118166	0.8203227300870068	1	7	3	Fail
Epibolus pulchripes	14 d	Seq_1407	-0.9721423807871092	1.5933034096539338	0.9766299195347562	1	8	3	Fail
Epibolus pulchripes	14 d	Seq_1409	-1.141503330467557	1.9912229490393085	0.9338078441880394	1	8	3	Fail
Epibolus pulchripes	14 d	Seq_1411	-4.841599800762341	1.9191072971828607	0.7351430939649376	1	11	3	Fail
Epibolus pulchripes	14 d	Seq_1412	-0.7558979619590773	3.114814848858417	0.3480321894875657	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1415	-1.2742261112054292	1.8480396312276888	Inf	Inf	4	1	Fail
Epibolus pulchripes	14 d	Seq_1419	-5.623450612909525	1.8495505150719203	0.9927124506071927	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_142	-0.19350544992607605	0.7694472224441281	0.35142623791386196	0.9044798005822269	6	3	Fail
Epibolus pulchripes	14 d	Seq_1420	0.20673649047480025	1.5521984863607141	0.0012227205722252874	0.007372285803123056	10	3	Pass
Epibolus pulchripes	14 d	Seq_1421	-4.252055245884052	2.129312690704162	0.9960510465599189	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1424	0.18467560748694392	1.013149817923391	0.3067456182404963	Inf	3	2	Fail
Epibolus pulchripes	14 d	Seq_1429	-4.620713799809371	1.778472850839857	0.9998050238369681	1	3	1	Fail
Epibolus pulchripes	14 d	Seq_143	4.2918767330100644	0.6435668665007462	2.1490416552732878e-16	5.644816081184502e-15	12	3	Pass
Epibolus pulchripes	14 d	Seq_1430	0.10297535159933577	0.9835967682120584	0.36800297601807685	0.996516649835892	1	1	Fail
Epibolus pulchripes	14 d	Seq_1433	2.51087928939136	1.228501383310494	3.271956023386048e-7	7.613930097663209e-6	6	3	Pass
Epibolus pulchripes	14 d	Seq_1434	-0.8827565609384813	1.4543937761484371	0.8297514149650838	1	9	3	Fail
Epibolus pulchripes	14 d	Seq_1435	-7.359706497468414	2.622729834627517	0.99999999999971	1	5	2	Fail
Epibolus pulchripes	14 d	Seq_1440	2.086107919219702	0.6242081902904937	5.600229854887041e-9	6.895283008829669e-8	5	2	Pass
Epibolus pulchripes	14 d	Seq_1443	-2.9766385402264732	1.0319752997974616	0.9947446413260865	1	8	2	Fail
Epibolus pulchripes	14 d	Seq_1447	-1.5794974655010001	0.6721535721009836	0.92836336583201	1	10	3	Fail
Epibolus pulchripes	14 d	Seq_1448	0.5864358071576375	0.8191126680797591	0.00992293225303676	0.0464960254142294	8	3	Pass
