Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,6.140460837242889,6.135886379019967,1.2013814098953717,0.10881054626871159,Seq_15,3.633476252213305,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-3.1578163261151784,4.814227276398986,-0.6777956687860283,0.2447924468177518,Seq_16,0.7527741500130303,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,Fail
Sterile feed _vs_ Control,-6.021747454425544,5.576532628179992,-0.8389609668681248,0.23834277504790924,Seq_17,0.8653258075796241,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,-4.707905878852332,4.429091328555202,-1.093175873126767,0.09896087489275612,Seq_18,0.51674495804929,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,-1.4583969696621901,5.68062689094357,-0.19875909084153792,0.41968930359850415,Seq_20,0.013597112447725091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,NA,Fail
Sterile feed _vs_ Control,-3.437199542618721,5.639285215041422,-0.5939195798996199,0.24352409472047634,Seq_21,0.07008806555618596,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA,Fail
Sterile feed _vs_ Control,8.013426639220214,5.499552846344883,1.2808256765911714,0.08333641543790647,Seq_22,0.6169726813043891,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,1.671010259886113,5.515108309483659,0.3355589298190054,0.41450796904173526,Seq_23,3.8185364681705662,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Fail
Sterile feed _vs_ Control,-1.352096547466176,6.96126150186281,-0.1734122594951185,0.41450796904173526,Seq_24,0.00781793590856142,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,3.5994682812269927,6.635651046410409,0.5385732041371158,0.3056999938648578,Seq_25,0.015109682559305504,Bacteria,Rare,Cyanobacteriia,Chloroplast,NA,NA,NA,Fail
Sterile feed _vs_ Control,-1.6234920215988087,13.529989175090677,-0.11672882962780348,0.4663213192119982,Seq_26,1.6556218356847006,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,NA,Fail
Sterile feed _vs_ Control,5.457689946701469,6.011771395182302,0.8729509185258397,0.16666802294762778,Seq_27,0.4064498933901919,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,NA,NA,Fail
Sterile feed _vs_ Control,4.803976404677939,6.963644096221875,0.8881422281136223,0.20833433271194932,Seq_28,2.4944661677094397,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA,Fail
Sterile feed _vs_ Control,-4.01233922791579,5.019203902003305,-0.7410064674868617,0.3333337571830611,Seq_32,0.44628848759203,Archaea,Rare,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanimicrococcus,NA,Fail
Sterile feed _vs_ Control,-5.854623487017086,3.6110952047634424,-1.6294454414383228,3.6539984880401186e-4,Seq_33,0.685401038853596,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-5.49230966128261,4.0788509193990645,-1.4213742492877244,0.0155616731380917,Seq_35,0.5957257957748582,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,4.646324975768898,9.34612972597439,0.7651692115384079,0.18652965283039225,Seq_36,1.5741056838339453,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-4.076634409549151,4.517759331552175,-0.7297953661714665,0.29533733758434044,Seq_37,0.1775894218688305,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA,Fail
Sterile feed _vs_ Control,0.49812045222684276,6.004226226752621,0.06483428792769239,0.4583334281811429,Seq_38,1.514965941395861,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,NA,Fail
Sterile feed _vs_ Control,-4.4767587156692175,6.610605995666835,-0.5598060331313712,0.2590680595179744,Seq_39,0.3788002520113925,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,Fail
Sterile feed _vs_ Control,0.8851928433940381,9.235041149344424,0.06487153979081849,0.47668399009963064,Seq_44,0.1549420216058258,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Fail
Sterile feed _vs_ Control,-5.535236521408851,3.1872303254208267,-1.6240363307163013,3.6539984880401186e-4,Seq_45,0.39313208849020187,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA,Fail
Sterile feed _vs_ Control,-0.3947329221609248,6.06133930773864,-0.06614001441466912,0.4715026546350488,Seq_46,0.005420763239274292,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA,Fail
Sterile feed _vs_ Control,13.469552005452407,2.9665931943821464,4.599427895548546,3.6539984880401186e-4,Seq_49,1.0023230864060908,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-3.531401831903409,4.751276174110444,-0.8474230521838952,0.10416906367182907,Seq_52,0.4634093780257896,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
Sterile feed _vs_ Control,-6.628611523868925,1.9995042217146102,-3.0663229877688765,3.6539984880401186e-4,Seq_54,0.2366411630892924,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,T2WK15B57,NA,Fail
Sterile feed _vs_ Control,3.887773363686927,3.9588976587056344,0.9945145532969437,0.14062668048379562,Seq_55,0.9548803427325423,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,NA,Fail
Sterile feed _vs_ Control,-0.46802034953627203,5.601719777170792,-0.08587119689791148,0.4611399838382424,Seq_56,0.30727475582654545,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,NA,Fail
Sterile feed _vs_ Control,-1.3155291274346155,5.941189305775031,-0.18687554513464277,0.41968930359850415,Seq_57,0.0050816583405649245,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-4.011083091677815,3.629483637810739,-1.1385651220012571,0.06736136392791461,Seq_60,0.1309277371702095,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Pragia,NA,Fail
Sterile feed _vs_ Control,0.5781145636510168,6.734245966369298,0.05830104175000404,0.421875181024094,Seq_62,1.2247224892304451,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA,Fail
Sterile feed _vs_ Control,0.4476730731794616,11.568015679557835,0.02738951442704483,0.48704666112277173,Seq_65,0.9734852949841835,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,7.933769930141762,5.135557923659921,1.6662080490427074,3.6539984880401186e-4,Seq_67,0.9602064001263099,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-3.5943989851767277,5.7508890693928825,-0.6117748162054462,0.2487054153984285,Seq_68,0.02390970433560225,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA,Fail
Sterile feed _vs_ Control,-3.8864620500978186,6.439923490180166,-0.5713243498650025,0.2604173696561931,Seq_69,0.3250531264092803,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,metallidurans,Fail
Sterile feed _vs_ Control,-4.184831819854847,3.1736590571599947,-1.2319023495683514,0.020738564384523036,Seq_70,0.3569267919413074,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,2.6217127801208315,3.5453098862521144,0.5389208101304482,0.23834277504790924,Seq_76,1.0889183214694254,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Vitreoscilla,NA,Fail
Sterile feed _vs_ Control,-5.655923971265877,4.116763011393985,-1.2781562077738848,0.046880728931082735,Seq_77,0.17761033991765107,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.10229487673513837,4.8339845425639085,0.019131535754148152,0.481865325598072,Seq_79,0.06048219208954451,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-5.044793534380067,4.002203224714559,-0.9941268598667086,0.11917301344015688,Seq_82,0.38088393684496546,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-5.328849210064202,3.4719396802326656,-1.310273975141556,0.020738564384523036,Seq_84,0.32383923719344737,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-7.452471292856933,4.315431928402905,-1.7290064689387168,0.010443256861835112,Seq_85,0.16628154630778857,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,NA,Fail
Sterile feed _vs_ Control,-1.8016130292304773,4.005402865962415,-0.4206093433794945,0.3367879734466224,Seq_89,0.0018954325665702205,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47_termite_group,NA,NA,Fail
Sterile feed _vs_ Control,-4.4724054417009524,4.860482447755892,-0.9011497278363647,0.15625147348268187,Seq_91,0.35298551696016095,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,4.817574028949331,8.08247356667911,0.6250804497735594,0.2500007535053072,Seq_92,0.014584527256003019,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,NA,NA,Fail
Sterile feed _vs_ Control,3.818890621792116,6.07722822183438,0.6091838840143885,0.2812506115426518,Seq_93,0.004439905244518914,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,Fail
Sterile feed _vs_ Control,1.7972747860114744,6.268410670474562,0.2318965836775435,0.4375001435262812,Seq_96,0.024528832123835116,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-1.9465650511904746,3.7809913529440244,-0.4540607167863394,0.3626946327483506,Seq_97,0.05990403374470482,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,NA,Fail
Sterile feed _vs_ Control,-2.8489330156393846,4.657303297017741,-0.5556122314192198,0.2500007535053072,Seq_98,0.00783185282045259,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA,Fail
Sterile feed _vs_ Control,-0.49035564049506153,2.4383082747905602,-0.22688908795195628,0.3626946327483506,Seq_103,0.05682551386972943,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,NA,Fail
Sterile feed _vs_ Control,-0.16481147575543353,5.129603574084744,-0.04239133687408232,0.47916671384314896,Seq_105,7.817935908561421e-4,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix,NA,Fail
Sterile feed _vs_ Control,3.4127969312227098,7.789959859257169,0.4599808786135501,0.341969304696059,Seq_107,0.5449415722259523,Bacteria,Rare,NA,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.6389658135514216,5.5953915454911005,0.13009807641859447,0.45312510690235347,Seq_109,0.1564570544055756,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,0.1215339864474485,6.130975765979251,0.0239592508261121,0.48704666112277173,Seq_111,0.10819793197413588,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,NA,NA,NA,Fail
Sterile feed _vs_ Control,1.4172508422923524,8.71334798322043,0.179094255693365,0.41145853996478227,Seq_112,0.07470818684380484,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-1.8533985756821334,5.80512140388389,-0.3741921512646721,0.3125004932063641,Seq_114,0.1660282682364882,Bacteria,Rare,NA,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-2.188663194967397,5.875416921802333,-0.3769647059311496,0.3575133003109629,Seq_121,0.003624693855259784,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-3.888313173759232,4.252798248399001,-1.0608986913043466,0.08854454762975288,Seq_124,0.23288889430731477,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-5.002767180128672,8.128951617740725,-0.5087099628783531,0.3523319681456014,Seq_127,0.47898658951716105,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,NA,NA,Fail
Sterile feed _vs_ Control,-5.237427918479278,4.6379698006255605,-1.2829777386554588,0.010443256861835112,Seq_128,0.23217322546363092,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,1.4337181599605984,11.095683928777753,0.11800001435559522,0.45595864852165235,Seq_129,0.6994119279665748,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,-5.883272024929907,3.486040796569773,-1.7770135821721926,0.010389148200048819,Seq_132,0.2691373373259345,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,0.3402531830440614,5.392596954578737,0.057125892424822494,0.481865325598072,Seq_134,0.005802568876375654,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.045154048289681725,10.616688092713222,0.003655766385989675,0.48437503535546167,Seq_139,0.3190987681743643,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.6165134261451586,5.031257523841003,0.09665543548728027,0.44041464299558164,Seq_142,3.9089679542807107e-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Cerasicoccus,NA,Fail
Sterile feed _vs_ Control,-4.860287455060575,3.580920445027739,-1.378858390151984,3.6539984880401186e-4,Seq_147,0.16309975947254624,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,2.2659001760125284,6.734289196055043,0.271419621842811,0.42487063828157756,Seq_148,0.04291003936155701,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA,Fail
Sterile feed _vs_ Control,-5.998619453845094,6.079261978959344,-0.8174592617000194,0.2020735722673617,Seq_149,0.0815442448481512,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,NA,Fail
Sterile feed _vs_ Control,0.5972961072901697,3.9014339089775865,0.12022975581262332,0.4427084645663884,Seq_150,0.026371310306584444,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,2.523977670801359,2.9267181250304697,0.9339995144878309,0.020738564384523036,Seq_151,0.253588363150929,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-2.068661621365048,9.237160467248692,-0.23458949837113097,0.4041453003463785,Seq_152,0.06995410084523734,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.928368500751108,7.734285871617498,0.1216819666517657,0.435233307989157,Seq_153,0.011255198218168679,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,NA,Fail
Sterile feed _vs_ Control,1.7039987326212378,9.092845443428011,0.1578936764960549,0.44041464299558164,Seq_154,0.36892411998991087,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,-4.906344161925477,3.328129719998313,-1.446861434169163,0.05729629755404447,Seq_155,0.02395663824401519,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,NA,Fail
Sterile feed _vs_ Control,-2.252130253838798,6.413764780589367,-0.2946736038870148,0.39583357948982467,Seq_156,0.15838155576592727,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-1.9897575856719785,4.0979798552599505,-0.39604661386922563,0.3593753451929687,Seq_160,0.13481148893936193,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,-0.8568962178157946,5.401808070057293,-0.13596146511187854,0.41450796904173526,Seq_161,0.0012935188239326853,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.0895241646198706,6.363082579173052,-0.1449122564393494,0.4427084645663884,Seq_162,0.0050816583405649245,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,NA,Fail
Sterile feed _vs_ Control,-2.2964286056389267,3.521389806191716,-0.5882132409438614,0.23316145645076272,Seq_165,0.07315478227851469,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-5.531120081908803,6.274917443233718,-0.9034682988476876,0.19689226379422683,Seq_169,0.1000638069159864,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
Sterile feed _vs_ Control,3.11477033489645,5.765180117135652,0.3599339282734578,0.44559597809209983,Seq_170,0.523627598994597,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,NA,Fail
Sterile feed _vs_ Control,2.157280090550792,11.15634669095046,0.18121540717658027,0.41145853996478227,Seq_178,0.39319170127137454,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA,Fail
Sterile feed _vs_ Control,-0.06007321868909088,4.167805227076264,-0.00763269669180912,0.49740933222081757,Seq_179,9.337591274954713e-4,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,-4.1878978826485405,4.521764378250041,-0.9780735570607062,0.07812830979759428,Seq_182,0.14711104634288272,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-2.8874169064726756,7.213527968366481,-0.33531667765285456,0.40104189948542546,Seq_183,0.06032247100744453,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,yanoikuyae,Fail
Sterile feed _vs_ Control,-1.097069393932835,6.348598346188393,-0.18016979595279456,0.4427084645663884,Seq_184,0.007427039113133351,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,panaciterrae,Fail
Sterile feed _vs_ Control,1.3759646826034864,6.193753682160884,0.20414586883893593,0.44791678569462046,Seq_192,0.012483947714093674,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.784423238123508,5.263031487132847,-0.34473206475439444,0.3437503914342893,Seq_198,0.0026687604785515977,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,NA,Fail
Sterile feed _vs_ Control,-2.7097792780241137,5.319724911977547,-0.4738220547716292,0.27083398913296086,Seq_199,0.14631209329765246,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,2.8550123969205305,7.677412933724865,0.2514660673462893,0.44791678569462046,Seq_204,0.36623960695834995,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,2.4924011140536138,10.247906173503942,0.21450872373749938,0.3730572983788177,Seq_207,0.178001656059509,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,NA,Fail
Sterile feed _vs_ Control,1.0795414879169503,4.624061271408845,0.24457241737608973,0.40104189948542546,Seq_211,0.0022393035001202926,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
Sterile feed _vs_ Control,-0.5395682651752347,3.215877973749996,-0.12862043524347783,0.45595864852165235,Seq_213,0.03811984986491655,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,-4.4674540364109685,3.0262217551832182,-1.5025527558378171,0.03125874113615872,Seq_214,0.09757696322232257,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-1.2170408956089038,3.9139132665323073,-0.32852159161438654,0.3229171243820439,Seq_222,0.11577485411287426,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-1.7224781339116193,6.129950086849661,-0.26450973219371965,0.4062502196473848,Seq_224,0.07229458313381829,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,T2WK15B57,NA,Fail
Sterile feed _vs_ Control,-7.5251771794864695,2.8400857446659256,-2.3895186054243895,3.6539984880401186e-4,Seq_225,0.1655741497112277,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,NA,Fail
Sterile feed _vs_ Control,0.25133515488655656,4.393388473379121,0.051731759418058236,0.4375001435262812,Seq_228,0.3943856051905572,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-3.3298223762880887,3.8992362242031264,-0.922870206517433,0.14062668048379562,Seq_232,0.13997181182483387,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,4.219960424974726,9.21716868711142,0.5100070339006472,0.29533733758434044,Seq_234,0.22618296743914765,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-0.2289203810889937,5.383332469027623,-0.043260986093348254,0.47668399009963064,Seq_237,0.0015635871817122843,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Fail
Sterile feed _vs_ Control,-0.1965791727604822,5.567400870853007,-0.029525255805894664,0.47916671384314896,Seq_239,0.0015635871817122843,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,-1.7000022403840118,5.467791882824304,-0.30098713622761075,0.341969304696059,Seq_242,0.0017519327088056562,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.31327654248765935,2.7029598870951936,0.14442462517547972,0.41450796904173526,Seq_243,0.2328988806770122,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,NA,NA,Fail
