Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,6.14887004162538,4.4637950130221915,1.2189307778526677,0.0155616731380917,Seq_132,0.1470893197593748,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-0.07751153117054832,0.6839244479179758,-0.0827634125881903,0.4375001435262812,Seq_134,0.43029975664390396,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,-1.5631466889853676,1.6712862107271702,-0.9664232708940061,0.18750115922376948,Seq_137,0.7413592466814873,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.6002760444877939,3.3984767726754477,0.13399092745889216,0.4427084645663884,Seq_139,0.004043426428935065,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,-2.6245748404592755,0.7447633257813058,-0.8921528875489021,0.27604229999348795,Seq_142,0.6331344284166677,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Cerasicoccus,NA,Fail
Sterile feed _vs_ Control,-0.7275919363047372,0.6786638809873295,-1.1068588167647557,0.0729202363990322,Seq_143,0.5552797928757653,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Fail
Sterile feed _vs_ Control,1.7860736126438406,1.0864578267704044,1.6182732944653635,0.005233195823184881,Seq_147,0.08584341176523744,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.13261440043556227,1.2433576965265054,0.05612436632403378,0.4715026546350488,Seq_149,0.10533298983663669,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,NA,Fail
Sterile feed _vs_ Control,2.0204760858969295,1.9255586813450183,1.170646220352444,0.005260450607949098,Seq_150,0.3625696377732015,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,3.987434786614207,3.351269082902581,1.073974079940876,0.08290462227165131,Seq_151,0.03313748675435606,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA,Fail
Sterile feed _vs_ Control,-0.3562790476503723,1.289400264092813,-0.15671541472365746,0.3626946327483506,Seq_152,0.3080468448587335,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,Fail
Sterile feed _vs_ Control,-0.8897464591852211,3.86690242802334,-0.18460387847604987,0.3730572983788177,Seq_153,0.06784260659132015,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,NA,Fail
Sterile feed _vs_ Control,5.370600028844948,4.060387822654788,1.3373630812402015,3.6539984880401186e-4,Seq_154,0.10436824968993101,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,-2.3252658263996064,0.6159233866746647,-3.6719437710516045,3.6539984880401186e-4,Seq_155,0.46656791726290936,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,NA,Fail
Sterile feed _vs_ Control,1.093587037721834,0.9163673858061543,0.9384843813915952,0.14583494005856223,Seq_156,0.03427852026462818,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA,Fail
Sterile feed _vs_ Control,1.7107319455582726,4.60791184512999,0.3115802932290438,0.3626946327483506,Seq_158,0.013966418875148755,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,NA,Fail
Sterile feed _vs_ Control,0.46912979255964515,1.0688120249732034,0.2707301271286324,0.3854169400435014,Seq_160,0.026786985161445467,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,0.10295739744644195,0.8039304554009163,0.03617228559973318,0.4635417495227036,Seq_161,0.3144476673231982,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,-6.221469128346556,3.706840780489676,-1.6566559332498245,0.005260450607949098,Seq_162,0.012192217945780884,Bacteria,Rare,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,NA,Fail
Sterile feed _vs_ Control,1.983695004444244,2.7310342917960932,0.594959573016792,0.19689226379422683,Seq_164,0.00768180018505539,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,NA,Fail
Sterile feed _vs_ Control,0.027670484092198855,0.8780031739892413,0.012867256842096886,0.48958335689084814,Seq_165,0.3367412156123267,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Fail
Sterile feed _vs_ Control,2.096659391614681,1.7299398622706361,1.0931454952122075,0.046880728931082735,Seq_169,0.035165531905642484,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
Sterile feed _vs_ Control,3.6532994826078076,4.739767246178108,0.6781044403224266,0.3333337571830611,Seq_170,0.03622311148478583,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,NA,Fail
Sterile feed _vs_ Control,0.8128334877000345,3.056420217268588,0.6048661270767999,0.10937726601935378,Seq_177,0.1790197401077618,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
Sterile feed _vs_ Control,-0.5738160479360048,0.8332746837798308,-0.7785140346031671,0.2447924468177518,Seq_179,0.5264732458140293,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.2845837252274976,1.5583002992064854,-0.9065614976140786,0.11458548008242522,Seq_181,0.4620921009523686,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,NA,Fail
Sterile feed _vs_ Control,1.0515284136193799,0.8512926002058974,1.108018001189515,0.11458548008242522,Seq_182,0.060724478996725464,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-4.078677392263336,3.65528183808265,-0.9812798877988236,0.11458548008242522,Seq_186,0.0021261036830969673,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-0.024061859260095186,3.0415328763291862,-0.004230849258148754,0.4922279966661879,Seq_192,0.31465622710238406,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,3.553547681135062,4.157372045165861,0.7091048985818829,0.3160626520705316,Seq_195,0.02847756272731028,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA,Fail
Sterile feed _vs_ Control,-0.2730145231470402,1.3705714037780306,-0.1915887475303163,0.4375001435262812,Seq_196,0.1110953012818437,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,NA,Fail
Sterile feed _vs_ Control,0.5776451184940417,0.8979512890455901,0.4281474167311033,0.34895870905425247,Seq_199,0.13758326633210557,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
Sterile feed _vs_ Control,-2.910252826556625,1.8531258147632275,-1.0948672647805315,0.15544188239972268,Seq_201,0.5095758937321547,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,4.6090456006827125,3.9214346424267665,0.9417195171612703,0.160623169477903,Seq_204,0.06265577455309553,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.2700114690530224,0.8377588881284916,-1.4981930975985092,0.005260450607949098,Seq_205,0.6823271789235072,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,NA,Fail
Sterile feed _vs_ Control,2.3892470203289147,1.8375906196115572,1.0132923205995998,0.1813483506875375,Seq_206,0.21384365129346228,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.108120486151848,2.796755348915677,-0.21663563048037449,0.34715063626832904,Seq_207,0.02812184657718573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,NA,Fail
Sterile feed _vs_ Control,0.15853513377808293,0.9617608333765135,0.133515083926929,0.41450796904173526,Seq_211,0.27855247534877087,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Fail
