Comparison,diff.btw,diff.win,effect,overlap,OTU,baseMean,Kingdom,Phylum,Class,Order,Family,Genus,Species,Significance
Sterile feed _vs_ Control,-1.3927363416146186,6.736954731680228,-0.20895084448937862,0.44041464299558164,Seq_49,0.02558409794812841,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,NA,Fail
Sterile feed _vs_ Control,-2.9413606570661734,2.3699927977301902,-1.4060158592448002,0.10881054626871159,Seq_50,0.44868115141806153,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,NA,Fail
Sterile feed _vs_ Control,4.591704961443805,6.051608919008457,0.6406361363788297,0.27979335730170235,Seq_55,0.08298058318684051,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,NA,Fail
Sterile feed _vs_ Control,-0.6626849136259336,3.9936905220412173,-0.15915529632709935,0.4093266346210062,Seq_58,0.0017457198452385354,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Humibacter,NA,Fail
Sterile feed _vs_ Control,-0.38033684643648646,0.4093394115985629,-0.7485579920154417,0.2447924468177518,Seq_61,0.5842081885948489,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Fail
Sterile feed _vs_ Control,2.0178199637973746,4.9921891177264115,0.35836538376931476,0.3782386315434618,Seq_62,0.010278112772825499,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA,Fail
Sterile feed _vs_ Control,0.01885574700378667,0.517024115613745,0.029415082889715102,0.47916671384314896,Seq_63,1.1372435590764822,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,Fail
Sterile feed _vs_ Control,-0.48058690453542674,1.0482453737996202,-0.4279255816055457,0.29533733758434044,Seq_65,0.03764032478468961,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.42886148805142454,0.6412431232389175,0.6439992460918442,0.2746120317825454,Seq_68,1.2076416930826817,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA,Fail
Sterile feed _vs_ Control,0.7236438299182111,0.785370088884318,0.9944988403862178,0.10937726601935378,Seq_72,0.9271528700269781,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,0.8349146356060491,1.0154312728100119,0.9421645895603112,0.14507932060197004,Seq_73,0.6719548922934017,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-1.7831154688920314,4.134651693485795,-0.39009706054270793,0.30208386385344066,Seq_76,0.0017218284189472308,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Vitreoscilla,NA,Fail
Sterile feed _vs_ Control,5.946533200238805,2.678902679704473,2.094108097962444,3.6539984880401186e-4,Seq_78,0.021519440867254398,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-0.21237963854435238,1.0009976949224226,-0.24647224316338628,0.3802086206168476,Seq_81,0.7482598931586859,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,-0.4577233799551914,1.7744542660841809,-0.2786007804837046,0.3854169400435014,Seq_86,0.5743445681586574,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,fulvus,Fail
Sterile feed _vs_ Control,-0.2711924837345734,0.6581844334190041,-0.45804526412897695,0.29533733758434044,Seq_87,0.7455986644315382,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Fail
Sterile feed _vs_ Control,-0.33958567798754435,1.0238500802615813,-0.33526557927744827,0.36979198242064654,Seq_88,0.6875001267657752,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Fail
Sterile feed _vs_ Control,0.14495559654090817,0.5714098915089898,0.26076930951706756,0.3937826322774743,Seq_90,0.42129291576842276,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.9804669085010111,2.111594330013094,0.44935942411439855,0.33854207413757076,Seq_92,0.6980257530755343,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,NA,NA,Fail
Sterile feed _vs_ Control,0.3343634767218715,1.4342687475040066,0.23263064754570426,0.4093266346210062,Seq_93,0.04066747334277002,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,Fail
Sterile feed _vs_ Control,-0.19382932870728675,0.7550619066135189,-0.20776474743249906,0.4375001435262812,Seq_94,0.6101818660529648,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Fail
Sterile feed _vs_ Control,1.7432066177330885,2.480468467265758,0.6358817329775484,0.3854169400435014,Seq_95,0.8792002710025851,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA,NA,Fail
Sterile feed _vs_ Control,-0.39568712444570764,4.93263273543982,-0.0804556937967591,0.44791678569462046,Seq_99,0.010287110120170825,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA,Fail
Sterile feed _vs_ Control,0.8722086537515676,1.3528370044028586,0.5774960586133859,0.21354263060221784,Seq_101,0.8004932427623022,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,1.8917859559237957,4.847983472009276,0.3352916081945203,0.3437503914342893,Seq_102,0.00256617524410742,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Fail
Sterile feed _vs_ Control,0.3285344248360933,0.8422693523296481,0.4110602139769881,0.3593753451929687,Seq_104,0.734253206095422,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.2137846599498494,1.584923566590355,0.12650112268780364,0.4583334281811429,Seq_106,0.7225514209136237,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia,NA,Fail
Sterile feed _vs_ Control,0.373173206587067,0.6631154130624042,0.619112606385277,0.26562567900481326,Seq_108,0.6676421063785418,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,NA,Fail
Sterile feed _vs_ Control,0.2554480256866798,5.001732833865915,0.034406284048072666,0.4922279966661879,Seq_110,0.020369619112806433,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,NA,Fail
Sterile feed _vs_ Control,3.9671850010113276,5.658036618830934,0.747926182993363,0.20833433271194932,Seq_112,0.038942370931230486,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,0.07478912164326301,1.2789554427647998,0.04351532302780857,0.481865325598072,Seq_113,0.6115478985355146,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,Fail
Sterile feed _vs_ Control,1.4735599775295838,1.1372831510265353,1.600003506605086,3.6539984880401186e-4,Seq_115,0.3498105922799051,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-0.7871216028638237,0.9455774148680094,-0.6797121905402109,0.2590680595179744,Seq_116,0.10360343653760495,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Fail
Sterile feed _vs_ Control,-2.599949316035094,1.9572126361472004,-1.3475083985175482,0.13989804680407464,Seq_117,0.32123676604157525,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Arachidicoccus,NA,Fail
Sterile feed _vs_ Control,0.4963985267838771,1.6683051049622466,0.32081295756303374,0.3750003014047682,Seq_119,0.5329699198079464,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,NA,Fail
Sterile feed _vs_ Control,-4.023493434431064,2.5092587107457436,-1.2786407879387978,0.14507932060197004,Seq_120,0.5036383901560889,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,ginsengisoli,Fail
Sterile feed _vs_ Control,0.6026723790220574,0.5452196588481142,1.1143510164385413,0.07812830979759428,Seq_123,0.555745915627392,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA,Fail
Sterile feed _vs_ Control,1.7889908073831302,4.683882900320668,0.40296038108177823,0.3056999938648578,Seq_127,0.00128308762205371,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.3785220792656947,2.214984961128097,-0.5908860196620287,0.3229171243820439,Seq_130,0.46907039729597877,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Fail
Sterile feed _vs_ Control,0.5344606698636096,1.5452134574379603,0.3458213906954998,0.3834199649231569,Seq_131,0.42666771896334177,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA,Fail
Sterile feed _vs_ Control,-0.13366396769364686,2.5129990170260434,-0.057295301944877114,0.4663213192119982,Seq_133,0.3499349736222627,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA,Fail
Sterile feed _vs_ Control,1.1882456101325531,0.721097409486652,1.7845947561270674,3.6539984880401186e-4,Seq_135,0.4507612488867996,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Fail
Sterile feed _vs_ Control,0.5220152609664623,0.5556009449295449,0.8753193289891119,0.19791774206198248,Seq_136,0.4753156627704664,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,NA,Fail
Sterile feed _vs_ Control,0.10979793750365019,0.5979397226087815,0.1522025018486479,0.45077731327022447,Seq_138,0.450858028448945,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Fail
Sterile feed _vs_ Control,-0.6505908389890207,0.9642333528749027,-0.5709994770130451,0.26562567900481326,Seq_139,0.15744338911541844,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.6873500036204785,0.8823963710152638,0.9028898582355167,0.15625147348268187,Seq_141,0.3044140273278147,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA,NA,Fail
Sterile feed _vs_ Control,-2.2023705148186776,2.1698962927610994,-0.9557898346134024,0.09844812603851023,Seq_145,0.16423013212167215,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,NA,Fail
Sterile feed _vs_ Control,0.1656308674346363,1.4198902717136193,0.1075718782601907,0.4611399838382424,Seq_146,0.3645020415071958,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Fail
Sterile feed _vs_ Control,0.068104539588008,2.4452688733548698,0.018767829920440012,0.48704666112277173,Seq_151,0.13762369035673713,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA,Fail
Sterile feed _vs_ Control,1.2631678111780058,3.5980797555040978,0.4217340476906031,0.2590680595179744,Seq_154,0.2663329322177333,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA,Fail
Sterile feed _vs_ Control,-1.970366663237928,0.8809481980991034,-2.160273916131093,0.005233195823184881,Seq_158,0.09433010683343943,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,NA,Fail
Sterile feed _vs_ Control,0.2147056247513497,0.6155910135569647,0.36002812003603585,0.3678759654424863,Seq_159,0.12209084073312275,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,mobile,Fail
Sterile feed _vs_ Control,0.7383136629629008,1.746795803901164,0.47840594346905463,0.2447924468177518,Seq_162,0.4629915578571156,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,NA,Fail
Sterile feed _vs_ Control,-3.7806309398426663,3.048934950724287,-1.2592564891170754,0.005233195823184881,Seq_163,0.18815199765176938,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Arachidicoccus,NA,Fail
Sterile feed _vs_ Control,-0.38544072869578283,0.4113990965199452,-0.8447229663776159,0.11458548008242522,Seq_166,0.20169916475688135,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,felis,Fail
Sterile feed _vs_ Control,-1.8038119641199941,5.9988511120699615,-0.32592922464133856,0.29533733758434044,Seq_167,0.03759010018936088,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,Fail
Sterile feed _vs_ Control,-0.1856888219137005,0.4831296686910047,-0.40930393779970264,0.34895870905425247,Seq_168,0.27894875287536974,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Fail
Sterile feed _vs_ Control,-0.4859066774523795,1.4470971945334563,-0.2653329409109906,0.39062525967192036,Seq_171,0.02396701756721261,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.5543817016843935,0.6460389035268195,0.8785825478887619,0.19171095726038398,Seq_172,0.3757989660813241,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Fail
Sterile feed _vs_ Control,0.22501005455626544,1.1262420666779667,0.19989393238823855,0.421875181024094,Seq_173,0.0662122802751802,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Fail
Sterile feed _vs_ Control,1.8100087916019305,4.678001454265619,0.3145032035130777,0.34895870905425247,Seq_174,0.00128308762205371,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,NA,Fail
Sterile feed _vs_ Control,0.4302573339360807,1.234986079001838,0.2794032728060068,0.42708350174596327,Seq_175,0.25825361355399734,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Fail
Sterile feed _vs_ Control,-2.234165145062618,2.3115108009748084,-0.7871200506188126,0.1813483506875375,Seq_176,0.027048301832355893,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,NA,Fail
Sterile feed _vs_ Control,-0.5681420093603431,0.6434876237645888,-0.8632597430807063,0.07812830979759428,Seq_180,0.3130968218346526,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,NA,Fail
Sterile feed _vs_ Control,5.4400330346608525,6.446519184463563,0.749785333000625,0.19171095726038398,Seq_183,0.13873550313930838,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,yanoikuyae,Fail
Sterile feed _vs_ Control,-0.44083299753191785,0.5845618994426132,-0.7340515382353769,0.1709857541070528,Seq_184,0.32517617879885263,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,panaciterrae,Fail
Sterile feed _vs_ Control,-0.7708232253759046,1.0859181024019562,-0.9686159563935086,0.15625147348268187,Seq_185,0.4084276560726952,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA,Fail
Sterile feed _vs_ Control,-0.5348940555189312,1.6556147884335823,-0.2646250494795227,0.44559597809209983,Seq_186,0.15843122009908692,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Fail
Sterile feed _vs_ Control,-0.3283995161289539,2.1444671426694217,-0.15834917099029322,0.4166668604270799,Seq_187,0.08839932079703501,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,NA,Fail
Sterile feed _vs_ Control,0.5689987307147626,0.9544239663770773,0.6279140206022865,0.29533733758434044,Seq_188,0.2918824112732144,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Fail
Sterile feed _vs_ Control,-0.7660018198784169,1.404451562218009,-0.38220936709913517,0.4093266346210062,Seq_189,0.321258668432096,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,saccharophilum,Fail
Sterile feed _vs_ Control,-1.09858475636364,0.42545865864375987,-2.513602061841959,0.01564272201269862,Seq_190,0.09920952034200436,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,NA,Fail
Sterile feed _vs_ Control,-1.2213350832922822,4.489442177931626,-0.23682147744350607,0.40104189948542546,Seq_191,0.0019326659193691779,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA,Fail
Sterile feed _vs_ Control,0.9919893455480766,0.9958647536486773,1.0885545804777226,0.1813483506875375,Seq_193,0.3609953559307062,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA,Fail
Sterile feed _vs_ Control,0.08215557099770088,0.6884167201878832,0.14297170982190066,0.45077731327022447,Seq_194,0.3554442859796849,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,insulae,Fail
Sterile feed _vs_ Control,-0.24197619647727242,1.7779410883412083,-0.12854330582849133,0.39062525967192036,Seq_197,0.43653393640191607,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,NA,Fail
Sterile feed _vs_ Control,1.6578368035333857,1.463578192973002,1.0962409817376662,0.02084657621635152,Seq_198,0.2670555899750028,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,NA,Fail
Sterile feed _vs_ Control,-0.7082410307927045,0.9460229493229955,-0.7363212853346781,0.1813483506875375,Seq_200,0.1240416374872264,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,NA,Fail
Sterile feed _vs_ Control,1.558335456100031,0.948401738473736,1.5707508054677795,0.03125874113615872,Seq_202,0.22564634639466438,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Moheibacter,NA,Fail
Sterile feed _vs_ Control,0.21445040990939823,1.682628272825192,0.1576706576987288,0.45077731327022447,Seq_207,0.05740949718167526,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,NA,Fail
Sterile feed _vs_ Control,-0.4567975435623879,0.9027039347715844,-0.199737725818783,0.3626946327483506,Seq_208,0.3225178094827274,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA,Fail
Sterile feed _vs_ Control,-3.0827589575565764,2.2483128256093394,-1.0144613326220049,0.09844812603851023,Seq_209,0.2941610705408946,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,NA,Fail
Sterile feed _vs_ Control,0.010345093138329986,1.6802082181005158,0.0037990093123694882,0.48437503535546167,Seq_210,0.07056698909546065,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Edaphobacter,NA,Fail
Sterile feed _vs_ Control,-0.4049552194285262,0.34550823021116894,-1.1028988046079264,0.07812830979759428,Seq_212,0.29923342296544053,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,soli,Fail
Sterile feed _vs_ Control,0.5302987856971519,0.5991699869313054,0.877466559639783,0.18229287116029563,Seq_215,0.3032994565494021,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,Fail
Sterile feed _vs_ Control,0.16238921388042415,1.1119852864695918,0.12689396576696887,0.4041453003463785,Seq_216,0.31519302987413284,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,NA,Fail
Sterile feed _vs_ Control,0.30574887340944024,0.5911859636517152,0.5268830099912336,0.3005186654698488,Seq_217,0.2592080731105983,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,madagascariense,Fail
Sterile feed _vs_ Control,0.34791028562791126,0.6220311881171234,0.41712669698130067,0.3264253119926425,Seq_218,0.30260146133847815,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,flavida,Fail
Sterile feed _vs_ Control,-1.4908855635705738,1.0757739177338528,-1.6140450834106612,0.005260450607949098,Seq_219,0.23342868628337404,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,ginsengisoli,Fail
Sterile feed _vs_ Control,0.5163876392631819,0.7728994792558606,0.6882355487729263,0.19791774206198248,Seq_220,0.32399881149990045,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA,Fail
Sterile feed _vs_ Control,0.15592452551705716,1.2316548796983575,0.1399622050327843,0.44791678569462046,Seq_223,0.2707016885979894,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Fail
Sterile feed _vs_ Control,-1.1227297506599179,4.705837795409873,-0.2063533820612783,0.4093266346210062,Seq_226,0.0012884439462461188,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,NA,Fail
Sterile feed _vs_ Control,-2.1557554814926263,1.8539681227785811,-1.1176813273348523,0.10881054626871159,Seq_227,0.19896330084818198,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA,Fail
Sterile feed _vs_ Control,-0.5743149111725288,3.933741408463849,-0.11274273914491442,0.44041464299558164,Seq_228,4.000256016385049e-4,Bacteria,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Fail
