Comparison,OTU,baseMean,effect,Phylum,Class,Order,Family,Genus
Sterile feed _vs_ Control,Seq_1045,0.01811344461958126,2.6883063925512065,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_351,0.06018984485308546,2.6876476070653075,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA
Sterile feed _vs_ Control,Seq_627,0.030883952814920547,2.6251354621750513,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
Sterile feed _vs_ Control,Seq_528,0.013274958366483892,2.6205968093574974,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA
Sterile feed _vs_ Control,Seq_403,0.018936486598705275,2.601395877026893,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
Sterile feed _vs_ Control,Seq_567,0.01536996912907886,2.584660966523891,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
Sterile feed _vs_ Control,Seq_458,0.02499023413601791,2.5679445503910863,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_1876,0.01635067170169683,2.5624224458243274,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
Sterile feed _vs_ Control,Seq_432,0.39926000769052716,-2.5210292987154856,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
Sterile feed _vs_ Control,Seq_79,0.031454754303177665,2.5170546577868844,Bacteroidota,Bacteroidia,NA,NA,NA
Sterile feed _vs_ Control,Seq_434,0.13768817431307895,2.5061488818818844,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_97,0.05419517877628778,2.4936446323765553,Rare,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus
Sterile feed _vs_ Control,Seq_667,0.015170152769269328,2.490763696491011,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_268,0.18722836270651183,-2.488649559231812,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
Sterile feed _vs_ Control,Seq_211,0.041581697171515344,2.472394983253384,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_1320,0.013081965025039924,2.4703729458761834,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_1964,0.016684999375074373,2.464894901244603,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_304,0.5474605877913133,-2.462515778928353,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA
Sterile feed _vs_ Control,Seq_309,0.10116282361023787,2.4593922382111195,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,NA
Sterile feed _vs_ Control,Seq_10,0.3348969768164806,2.42597285882555,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Sterile feed _vs_ Control,Seq_517,0.027217402384237286,2.420662856250712,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_266,0.06916399896006069,2.376255211361851,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_761,0.19291096686015785,-2.3673012548598864,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
Sterile feed _vs_ Control,Seq_1975,0.012020499977031338,2.3632823748343545,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea
Sterile feed _vs_ Control,Seq_731,0.07186505958641079,2.361758766069438,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Sterile feed _vs_ Control,Seq_273,0.05089422984679195,2.3530400294805824,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
Sterile feed _vs_ Control,Seq_371,0.1748488457921632,-2.3473704769006494,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
Sterile feed _vs_ Control,Seq_327,0.018133635238428914,2.341454051389641,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
Sterile feed _vs_ Control,Seq_690,0.04166127551444794,2.3374923169203727,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans
Sterile feed _vs_ Control,Seq_391,0.3439624763014061,-2.321379700155557,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
Sterile feed _vs_ Control,Seq_155,0.13833839346917665,2.308914766830693,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
Sterile feed _vs_ Control,Seq_515,0.14076632117451465,-2.307551919153922,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
Sterile feed _vs_ Control,Seq_167,0.4395754482960042,-2.302778273519403,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
Sterile feed _vs_ Control,Seq_1750,0.0372583451250819,2.2675756104464257,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Sterile feed _vs_ Control,Seq_165,0.05243309522012483,2.2591221909512367,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
Sterile feed _vs_ Control,Seq_1258,0.021644649474573324,2.243390807344244,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_620,0.03635840502785454,2.2329468547750406,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_3,1.3251239404659685,2.2309670915092132,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
Sterile feed _vs_ Control,Seq_896,0.03393948996825827,2.2004955162816935,Rare,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium
Sterile feed _vs_ Control,Seq_808,0.19920463938850855,-2.1947969253983386,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter
Sterile feed _vs_ Control,Seq_143,0.14243960844165457,2.19213898346251,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Sterile feed _vs_ Control,Seq_399,0.010022577951387366,2.185781966643492,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA
Sterile feed _vs_ Control,Seq_149,0.16059847283097597,2.184847435338498,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_317,0.06323553792937028,2.182280316354392,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_447,0.07823740646957333,2.18145665283737,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
Sterile feed _vs_ Control,Seq_1207,0.02923132427455599,2.179750112038157,Rare,Synergistia,Synergistales,Synergistaceae,Candidatus_Tammella
Sterile feed _vs_ Control,Seq_17,0.1099757505835378,2.1701951320920543,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
Sterile feed _vs_ Control,Seq_2374,0.01517133690172735,2.166273245791939,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_465,0.10345204874108158,-2.1637536192408513,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
Sterile feed _vs_ Control,Seq_617,0.13535064132771363,2.162260768208009,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_2112,0.009524950798608324,2.1526011846188795,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
Sterile feed _vs_ Control,Seq_437,0.03831687498546138,2.1479328588692077,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_1260,0.01385898688056109,2.1466272097897217,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,NA
Sterile feed _vs_ Control,Seq_649,0.19198405659918708,-2.1390059349856845,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
Sterile feed _vs_ Control,Seq_224,0.09702023783045946,2.12416893836005,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,T2WK15B57
Sterile feed _vs_ Control,Seq_1002,0.09746993004572241,-2.0926166276413847,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
Sterile feed _vs_ Control,Seq_657,0.25663784374564275,-2.091140108301514,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Sterile feed _vs_ Control,Seq_78,1.1575489511394936,2.083339610143838,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Sterile feed _vs_ Control,Seq_666,0.012834038712960537,2.071520575776864,Rare,NA,NA,NA,NA
Sterile feed _vs_ Control,Seq_522,0.1394413530686884,-2.0498971082854665,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Sterile feed _vs_ Control,Seq_137,0.007863130974962163,2.0315780903351053,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA
Sterile feed _vs_ Control,Seq_1143,0.00849317961264221,2.010822172777201,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Sterile feed _vs_ Control,Seq_864,0.10832141765221555,-2.0033693204719376,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
Sterile feed _vs_ Control,Seq_278,0.15004004672760363,-1.998869121792017,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
Sterile feed _vs_ Control,Seq_826,0.14595797513511719,-1.9979046622032208,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter
Sterile feed _vs_ Control,Seq_2143,0.010563871399825654,1.993595845371809,Actinobacteriota,Actinobacteria,Micrococcales,Demequinaceae,Lysinimicrobium
Sterile feed _vs_ Control,Seq_33,0.11824195398837435,1.9897778818419978,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
Sterile feed _vs_ Control,Seq_373,0.031031623775769276,1.988017631967487,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_853,0.03912266487350037,1.983025059432125,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,NA,NA
Sterile feed _vs_ Control,Seq_1051,0.006261883007858961,1.968010120588613,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
Sterile feed _vs_ Control,Seq_246,0.07887548540279293,1.967235647206759,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
Sterile feed _vs_ Control,Seq_713,0.2043696879140734,-1.9572089434040296,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
Sterile feed _vs_ Control,Seq_186,0.034128948689434134,1.9555394605442151,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Sterile feed _vs_ Control,Seq_2509,0.007923702831505123,1.9554689221920296,Rare,NA,NA,NA,NA
Sterile feed _vs_ Control,Seq_601,0.07542528314896327,-1.9498271919751722,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
Sterile feed _vs_ Control,Seq_159,0.23867199154657254,-1.9460394531015788,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Sterile feed _vs_ Control,Seq_63,0.1525030093429006,-1.9449947792734583,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
Sterile feed _vs_ Control,Seq_324,0.1017222661036586,1.9347361371236653,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA
Sterile feed _vs_ Control,Seq_1673,0.049186544195764466,1.9343577741260005,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenella
Sterile feed _vs_ Control,Seq_1631,0.027554952717969716,1.9331095318006057,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
Sterile feed _vs_ Control,Seq_1601,0.006698938304095041,1.9330307132790843,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Sterile feed _vs_ Control,Seq_362,0.39384535471008986,-1.9306725713584374,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter
Sterile feed _vs_ Control,Seq_588,0.038813022839051324,1.9303942333988213,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella
Sterile feed _vs_ Control,Seq_631,0.25809532283368813,-1.9262633655890022,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
Sterile feed _vs_ Control,Seq_45,0.07713329926579876,1.9169059883185575,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
Sterile feed _vs_ Control,Seq_1088,0.11919329042536975,-1.9163719613711319,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia
Sterile feed _vs_ Control,Seq_1439,0.005097690336991839,1.913570899099212,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
Sterile feed _vs_ Control,Seq_221,0.15578136502677165,-1.909913903989815,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA
Sterile feed _vs_ Control,Seq_1593,0.016044263361741487,1.9061741339410747,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,NA
Sterile feed _vs_ Control,Seq_2672,0.008935283398623584,1.904801746276203,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
Sterile feed _vs_ Control,Seq_4,2.9572546770540193,1.9045634478846236,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Sterile feed _vs_ Control,Seq_568,0.1211761877901076,-1.897059977072984,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA
Sterile feed _vs_ Control,Seq_5,5.012366826561433,1.8832942438457372,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Sterile feed _vs_ Control,Seq_200,0.13372875567833079,-1.8827576305475038,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis
Sterile feed _vs_ Control,Seq_1632,0.03167698897208888,1.8806744288641641,Rare,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium
Sterile feed _vs_ Control,Seq_724,0.03213928337691791,1.8718911570765857,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix
Sterile feed _vs_ Control,Seq_199,0.005931419691768692,1.863506591989053,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_475,0.029248240932278617,1.8592145957802064,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_1615,0.061981247542874984,-1.8509669280475485,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella
Sterile feed _vs_ Control,Seq_319,0.17135577340217467,-1.8403045549808024,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
Sterile feed _vs_ Control,Seq_177,0.259921118661474,1.829383235592986,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_516,0.18780096484579142,-1.8247411647506957,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
Sterile feed _vs_ Control,Seq_872,0.008986942408133978,1.823811962616388,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,NA
Sterile feed _vs_ Control,Seq_46,0.551978030100998,1.8090030377728166,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
Sterile feed _vs_ Control,Seq_346,0.013217081171742622,1.808629534407163,Bacteroidota,Bacteroidia,Sphingobacteriales,NA,NA
Sterile feed _vs_ Control,Seq_291,0.012427861411224948,1.803151308426287,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_1885,0.004680825659603413,1.7941094298094393,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_2962,0.010588190375237177,1.7918186303946215,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
Sterile feed _vs_ Control,Seq_18,0.6201839106204454,1.7908440894923507,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Sterile feed _vs_ Control,Seq_463,0.04495549639581331,1.78538491313484,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_2195,0.008802311784191656,1.7807248309524562,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,NA
Sterile feed _vs_ Control,Seq_2396,0.004096797145526215,1.7779512988559785,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,NA
Sterile feed _vs_ Control,Seq_142,0.14533466307745035,1.777358267432556,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Cerasicoccus
Sterile feed _vs_ Control,Seq_31,3.8457731504092716,1.7697881358554408,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
Sterile feed _vs_ Control,Seq_836,0.1255062221934363,-1.7668690158756895,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
Sterile feed _vs_ Control,Seq_1014,0.10003740778861384,-1.766712361311194,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA
Sterile feed _vs_ Control,Seq_519,0.19735595822790658,1.760246227031919,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Sterile feed _vs_ Control,Seq_2090,0.00630790313146181,1.7525187310055212,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,NA
Sterile feed _vs_ Control,Seq_1448,0.015782379053017763,1.7506640636640505,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
Sterile feed _vs_ Control,Seq_905,0.1396440914418057,-1.7334065722790872,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia
Sterile feed _vs_ Control,Seq_812,0.0061092709041103005,1.7315309138113317,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_89,0.09701512082303636,1.7218271242115852,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47_termite_group,NA
Sterile feed _vs_ Control,Seq_1015,0.08399969742565448,-1.7213241266929484,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
Sterile feed _vs_ Control,Seq_754,0.13125886163402245,-1.7107144354886668,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinocatenispora
Sterile feed _vs_ Control,Seq_2707,0.008153213053357124,1.687880793459222,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
Sterile feed _vs_ Control,Seq_303,0.004137178383221522,1.6870554815036818,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter
Sterile feed _vs_ Control,Seq_755,0.005453983157837305,1.686007721981751,Bacteroidota,Bacteroidia,NA,NA,NA
Sterile feed _vs_ Control,Seq_797,0.0749336582230477,-1.685175423362282,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia
Sterile feed _vs_ Control,Seq_675,0.017648469989922977,1.6850881851033823,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus_Symbiothrix
Sterile feed _vs_ Control,Seq_330,0.02954328428441138,1.6794491470934907,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_70,0.05495107786003488,1.662888073968585,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
Sterile feed _vs_ Control,Seq_470,0.004513661822914642,1.6613043216457215,Rare,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Sterile feed _vs_ Control,Seq_793,0.004533852441762296,1.6558902446486243,Rare,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium
Sterile feed _vs_ Control,Seq_444,0.25166933946987974,-1.6544500719176658,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidipila
Sterile feed _vs_ Control,Seq_907,0.1423542701191044,-1.6535155886871542,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Sterile feed _vs_ Control,Seq_1469,0.012055876331746204,1.6490341352137945,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
Sterile feed _vs_ Control,Seq_191,0.5645028504711506,-1.6331812870472433,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
Sterile feed _vs_ Control,Seq_468,0.24286021319271583,-1.6306510678446222,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Haoranjiania
Sterile feed _vs_ Control,Seq_964,0.12230982086877845,-1.6282505247595096,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter
Sterile feed _vs_ Control,Seq_1270,0.09521349462744426,-1.6268385409853736,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella
Sterile feed _vs_ Control,Seq_1083,0.11390539634429121,-1.6258219985351003,Rare,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Sterile feed _vs_ Control,Seq_140,0.6604505276790319,1.620683671765486,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
Sterile feed _vs_ Control,Seq_112,0.027114828059713905,1.619324136951532,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Sterile feed _vs_ Control,Seq_339,0.020979351962339444,1.6137461394299164,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
Sterile feed _vs_ Control,Seq_181,0.0755306390821983,1.6126061287348294,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Sterile feed _vs_ Control,Seq_386,0.01723046478684138,1.606172036932983,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
Sterile feed _vs_ Control,Seq_2769,0.005036548217602294,1.6017731017768733,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group
