Code,Weight (g),Treatment,Replicate,Date,Day,Individual
2I,0.114,Sterile,9,2/12/2019,21,19
2J,0.121,Sterile,10,2/12/2019,21,20
3A,0.104,2X diluted,1,2/12/2019,21,21
3B,0.105,2X diluted,2,2/12/2019,21,22
3C,0.079,2X diluted,3,2/12/2019,21,23
3D,0.102,2X diluted,4,2/12/2019,21,24
3E,0.091,2X diluted,5,2/12/2019,21,25
3F,0.089,2X diluted,6,2/12/2019,21,26
3G,0.12,2X diluted,7,2/12/2019,21,27
3H,0.124,2X diluted,8,2/12/2019,21,28
3I,0.122,2X diluted,9,2/12/2019,21,29
3J,0.16,2X diluted,10,2/12/2019,21,30
4A,0.086,5X diluted,1,2/12/2019,21,31
4B,0.099,5X diluted,2,2/12/2019,21,32
4C,0.058,5X diluted,3,2/12/2019,21,33
4D,0.125,5X diluted,4,2/12/2019,21,34
4E,0.099,5X diluted,5,2/12/2019,21,35
4F,0.17,5X diluted,6,2/12/2019,21,36
4G,0.109,5X diluted,7,2/12/2019,21,37
4H,0.139,5X diluted,8,2/12/2019,21,38
4I,0.135,5X diluted,9,2/12/2019,21,39
4J,0.142,5X diluted,10,2/12/2019,21,40
1A,0.07,Control,1,9/12/2019,28,1
1B,0.113,Control,2,9/12/2019,28,2
1C,0.07,Control,3,9/12/2019,28,3
1D,0.123,Control,4,9/12/2019,28,4
1E,0.078,Control,5,9/12/2019,28,5
1F,0.11,Control,6,9/12/2019,28,6
1G,0.125,Control,7,9/12/2019,28,7
1H,0.128,Control,8,9/12/2019,28,8
1I,0.129,Control,9,9/12/2019,28,9
1J,0.125,Control,10,9/12/2019,28,10
2A,0.044,Sterile,1,9/12/2019,28,11
2B,0.05,Sterile,2,9/12/2019,28,12
2C,0.103,Sterile,3,9/12/2019,28,13
2D,0.088,Sterile,4,9/12/2019,28,14
2E,0.17,Sterile,5,9/12/2019,28,15
2F,0.097,Sterile,6,9/12/2019,28,16
2G,0.165,Sterile,7,9/12/2019,28,17
2H,0.12,Sterile,8,9/12/2019,28,18
2I,0.111,Sterile,9,9/12/2019,28,19
2J,0.118,Sterile,10,9/12/2019,28,20
3A,0.117,2X diluted,1,9/12/2019,28,21
3B,0.107,2X diluted,2,9/12/2019,28,22
3C,0.081,2X diluted,3,9/12/2019,28,23
3D,0.104,2X diluted,4,9/12/2019,28,24
3E,0.088,2X diluted,5,9/12/2019,28,25
3F,0.099,2X diluted,6,9/12/2019,28,26
3G,0.12,2X diluted,7,9/12/2019,28,27
3H,0.121,2X diluted,8,9/12/2019,28,28
3I,0.116,2X diluted,9,9/12/2019,28,29
3J,0.152,2X diluted,10,9/12/2019,28,30
4A,0.089,5X diluted,1,9/12/2019,28,31
4B,0.095,5X diluted,2,9/12/2019,28,32
4C,0.059,5X diluted,3,9/12/2019,28,33
4D,0.123,5X diluted,4,9/12/2019,28,34
4E,0.099,5X diluted,5,9/12/2019,28,35
4F,0.175,5X diluted,6,9/12/2019,28,36
4G,0.094,5X diluted,7,9/12/2019,28,37
4H,0.126,5X diluted,8,9/12/2019,28,38
4I,0.136,5X diluted,9,9/12/2019,28,39
4J,0.136,5X diluted,10,9/12/2019,28,40
1A,0.072,Control,1,16/12/2019,35,1
1B,0.114,Control,2,16/12/2019,35,2
1C,0.084,Control,3,16/12/2019,35,3
1D,0.126,Control,4,16/12/2019,35,4
1E,0.078,Control,5,16/12/2019,35,5
1F,0.11,Control,6,16/12/2019,35,6
1G,0.131,Control,7,16/12/2019,35,7
1H,0.128,Control,8,16/12/2019,35,8
1I,0.129,Control,9,16/12/2019,35,9
1J,0.125,Control,10,16/12/2019,35,10
2A,0.04,Sterile,1,16/12/2019,35,11
2B,0.05,Sterile,2,16/12/2019,35,12
2C,0.088,Sterile,3,16/12/2019,35,13
2D,0.085,Sterile,4,16/12/2019,35,14
2E,0.155,Sterile,5,16/12/2019,35,15
2F,0.096,Sterile,6,16/12/2019,35,16
2G,0.164,Sterile,7,16/12/2019,35,17
2H,0.123,Sterile,8,16/12/2019,35,18
2I,0.107,Sterile,9,16/12/2019,35,19
2J,0.117,Sterile,10,16/12/2019,35,20
3A,0.109,2X diluted,1,16/12/2019,35,21
3B,0.101,2X diluted,2,16/12/2019,35,22
3C,0.08,2X diluted,3,16/12/2019,35,23
3D,0.104,2X diluted,4,16/12/2019,35,24
3E,0.088,2X diluted,5,16/12/2019,35,25
3F,0.098,2X diluted,6,16/12/2019,35,26
3G,0.118,2X diluted,7,16/12/2019,35,27
3H,0.113,2X diluted,8,16/12/2019,35,28
3I,0.112,2X diluted,9,16/12/2019,35,29
3J,0.152,2X diluted,10,16/12/2019,35,30
4A,0.087,5X diluted,1,16/12/2019,35,31
4B,0.092,5X diluted,2,16/12/2019,35,32
4C,0.055,5X diluted,3,16/12/2019,35,33
4D,0.114,5X diluted,4,16/12/2019,35,34
4E,0.098,5X diluted,5,16/12/2019,35,35
4F,0.17,5X diluted,6,16/12/2019,35,36
4G,0.094,5X diluted,7,16/12/2019,35,37
4H,0.126,5X diluted,8,16/12/2019,35,38
4I,0.132,5X diluted,9,16/12/2019,35,39
4J,0.136,5X diluted,10,16/12/2019,35,40
1A,NA,Control,1,23/12/2019,42,1
1B,0.103,Control,2,23/12/2019,42,2
1C,0.069,Control,3,23/12/2019,42,3
1D,0.122,Control,4,23/12/2019,42,4
1E,0.07,Control,5,23/12/2019,42,5
1F,0.104,Control,6,23/12/2019,42,6
1G,0.125,Control,7,23/12/2019,42,7
1H,0.119,Control,8,23/12/2019,42,8
1I,0.119,Control,9,23/12/2019,42,9
1J,0.12,Control,10,23/12/2019,42,10
2A,0.043,Sterile,1,23/12/2019,42,11
2B,0.038,Sterile,2,23/12/2019,42,12
2C,0.107,Sterile,3,23/12/2019,42,13
2D,0.087,Sterile,4,23/12/2019,42,14
2E,NA,Sterile,5,23/12/2019,42,15
2F,0.101,Sterile,6,23/12/2019,42,16
2G,0.174,Sterile,7,23/12/2019,42,17
2H,0.113,Sterile,8,23/12/2019,42,18
2I,0.108,Sterile,9,23/12/2019,42,19
2J,0.121,Sterile,10,23/12/2019,42,20
3A,0.107,2X diluted,1,23/12/2019,42,21
3B,0.107,2X diluted,2,23/12/2019,42,22
3C,0.08,2X diluted,3,23/12/2019,42,23
3D,0.099,2X diluted,4,23/12/2019,42,24
3E,NA,2X diluted,5,23/12/2019,42,25
3F,0.112,2X diluted,6,23/12/2019,42,26
3G,0.115,2X diluted,7,23/12/2019,42,27
3H,0.123,2X diluted,8,23/12/2019,42,28
3I,0.144,2X diluted,9,23/12/2019,42,29
3J,0.179,2X diluted,10,23/12/2019,42,30
4A,0.095,5X diluted,1,23/12/2019,42,31
4B,0.093,5X diluted,2,23/12/2019,42,32
4C,0.058,5X diluted,3,23/12/2019,42,33
4D,0.128,5X diluted,4,23/12/2019,42,34
4E,NA,5X diluted,5,23/12/2019,42,35
4F,0.171,5X diluted,6,23/12/2019,42,36
4G,0.132,5X diluted,7,23/12/2019,42,37
4H,0.152,5X diluted,8,23/12/2019,42,38
4I,0.127,5X diluted,9,23/12/2019,42,39
4J,0.172,5X diluted,10,23/12/2019,42,40
