ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	NA	100	100	100	100	93	53	42
Seq_21	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio	Frigididesulfovibrio_litoralis(RS_GCF_900143255_1)	100	89	89	89	87	61	61
Seq_22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	NA	NA	100	100	100	100	94	49	18
Seq_23	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	79	27	25	25
Seq_24	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	99	99	93	93	46	28
Seq_25	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	99	99	71	32	32	31
Seq_26	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	94	94	94	94	93	20
Seq_27	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rosenbergiella	Rosenbergiella_sp002752555(RS_GCF_002752555_1)	100	100	100	100	100	65	65
Seq_28	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus_elongatus(RS_GCF_000621145_1)	100	100	100	100	100	100	100
Seq_29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA	100	100	100	100	100	36	5
Seq_30	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	MZ-XQ	NA	100	94	94	83	74	52	25
Seq_31	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	100	100	100	100	100	9
Seq_32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	97	97	97	97	23	21
Seq_33	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Vitreoscilla	Vitreoscilla_massiliensis(RS_GCF_001457815_1)	100	100	100	100	90	84	84
Seq_34	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	98	94	89	7	7
Seq_35	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_A	NA	NA	100	100	100	99	81	42	34
Seq_36	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	G45-3	G45-3_sp003352165(RS_GCF_003352165_1)	100	100	100	97	97	73	73
Seq_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Microvirga_ossetica(RS_GCF_002741015_1)	100	100	100	100	100	69	66
Seq_38	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS363	UMGS363_sp900541495(GB_GCA_900541495_1)	100	100	100	100	100	100	100
Seq_39	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	97	97	94	65	65	64
Seq_40	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	94	52	41	41
Seq_41	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	100	100	100	100	100	100	30
Seq_42	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Palsa-1005	VBCG01	VBCG01_sp005881895(GB_GCA_005881895_1)	100	100	100	100	60	60	60
Seq_43	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_halophilus(RS_GCF_000763905_1)	100	100	100	100	100	99	73
Seq_44	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	G45-3	G45-3_sp003352165(RS_GCF_003352165_1)	100	100	100	98	98	69	69
Seq_45	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus_denitrificans(RS_GCF_001551835_1)	100	100	100	100	100	100	89
Seq_46	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	NA	NA	100	99	99	95	65	48	35
Seq_47	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Nitratidesulfovibrio	NA	100	97	97	97	97	83	41
Seq_48	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_C	Methanobrevibacter_C_sp003315655(GB_GCA_003315655_1)	100	100	100	100	100	100	100
Seq_49	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	NA	100	100	100	98	98	62	29
Seq_50	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	99	17
Seq_51	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_finegoldii(RS_GCF_000265365_1)	100	100	100	100	99	99	92
Seq_52	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	99	97	67	44
Seq_53	Bacteria	Desulfobacterota	Desulfarculia	Adiutricales	Adiutricaceae	Adiutrix	Adiutrix_intracellularis(GB_GCA_001577715_1)	100	100	100	100	100	100	100
Seq_54	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_D	Methanobrevibacter_D_curvatus(RS_GCF_001639295_1)	100	100	100	100	100	55	55
Seq_55	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum_brasilense(RS_GCF_001315015_1)	100	100	100	100	100	100	93
Seq_56	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	99	35	35	33
Seq_57	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	NA	100	100	100	99	99	99	27
Seq_58	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	100	100	100	49
Seq_59	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA1258	UBA1258_sp900100895(RS_GCF_900100895_1)	100	100	100	97	97	51	51
Seq_60	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium_cocleatum(RS_GCF_900102365_1)	100	100	100	98	98	98	80
Seq_61	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	88	88	46	46
Seq_62	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	95	95	95	95	95	4
Seq_63	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	80	13	12
Seq_64	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	100	6	2
Seq_65	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	71	27	27	27
Seq_66	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	99	99	99	99	46	46
Seq_67	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	NA	100	100	100	100	100	83	14
Seq_68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	Magnetospirillum_moscoviense(RS_GCF_001650635_1)	100	100	100	98	98	87	87
Seq_69	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas_timonensis(RS_GCF_900626145_1)	100	100	100	99	82	51	50
Seq_70	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_legallii_A(RS_GCF_900102485_1)	100	93	93	93	92	64	60
Seq_71	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	OEMS01	OEMS01_sp900199405(RS_GCF_900199405_1)	100	77	68	68	66	66	66
Seq_72	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	NA	NA	NA	100	100	100	96	34	34	26
Seq_73	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	60	28	28	28
Seq_74	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	OEMS01	OEMS01_sp900199405(RS_GCF_900199405_1)	100	91	88	88	88	88	88
Seq_75	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	NA	NA	100	100	100	100	93	44	44
Seq_76	Bacteria	Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Fretibacterium	Fretibacterium_sp003860125(RS_GCF_003860125_1)	100	100	100	100	100	100	100
Seq_77	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	100	100	100	100	19	19
Seq_78	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	100	100	100	100	100	6
Seq_79	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	NA	NA	98	91	90	89	58	41	33
Seq_80	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	96	96	96	95	65	33
Seq_81	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	99	36	36	31
Seq_82	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	43
Seq_83	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae_B	Treponema_E	Treponema_E_primitia_A(RS_GCF_000297095_1)	100	99	99	98	98	85	85
Seq_84	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	89	29	28	28
Seq_85	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio	Frigididesulfovibrio_litoralis(RS_GCF_900143255_1)	100	87	87	87	85	78	78
Seq_86	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	NA	NA	NA	100	93	93	61	37	37	37
Seq_87	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	100	100	100	100	99	12
Seq_88	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Cellulosimicrobium	NA	100	100	100	100	97	83	21
Seq_89	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus	NA	100	98	98	98	84	54	23
Seq_90	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus_nantongensis(RS_GCF_001598055_1)	100	100	100	100	100	100	91
Seq_91	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus_denitrificans(RS_GCF_001551835_1)	100	100	100	100	97	91	85
Seq_92	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Ereboglobus	Ereboglobus_luteus(RS_GCF_003096195_1)	100	100	100	100	100	100	100
Seq_93	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	94	34	34	34
Seq_94	Bacteria	Spirochaetota	Spirochaetia	NA	NA	NA	NA	100	58	50	38	12	11	11
Seq_95	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia_sp004558535(GB_GCA_004558535_1)	100	61	61	61	61	61	61
Seq_96	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Sanguibacter	NA	100	100	100	100	100	92	38
Seq_97	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	100	37	37
Seq_98	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Syner-03	Syner-03_sp002839185(GB_GCA_002839185_1)	100	98	98	98	92	89	89
Seq_99	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	Anaerosporobacter_mobilis(RS_GCF_900142955_1)	100	100	100	100	100	93	93
Seq_100	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	97	97	83	56	56	55
Seq_101	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	99	97	92	71	40	21
Seq_102	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA	100	100	99	99	85	40	40
Seq_103	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	NA	99	72	70	69	54	54	37
Seq_104	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	NA	100	100	100	100	100	58	13
Seq_105	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	NA	NA	100	100	100	100	92	39	38
Seq_106	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	NA	NA	NA	100	84	83	63	44	28	28
Seq_107	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	NA	NA	100	100	100	95	52	28	28
Seq_108	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus_luteus(RS_GCF_000023205_1)	100	100	100	100	100	94	69
Seq_109	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas_macrotermitis(RS_GCF_900128985_1)	100	100	100	99	71	71	57
Seq_110	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	99	99	34	34
Seq_111	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas_sobria(RS_GCF_000820145_1)	100	100	100	100	100	100	61
Seq_112	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	OEMS01	OEMS01_sp900199405(RS_GCF_900199405_1)	100	76	74	74	72	72	72
Seq_113	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	96	96	92	92	37	37
Seq_114	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	98	98	79	22	22	22
Seq_115	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Silvimonas	Silvimonas_sp001313065(GB_GCA_001313065_1)	100	100	100	100	100	74	74
Seq_116	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	H1	H1_sp001653155(RS_GCF_001653155_1)	100	100	100	97	67	67	67
Seq_117	Bacteria	NA	NA	NA	NA	NA	NA	100	8	8	8	7	7	3
Seq_118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	NA	NA	100	100	100	100	98	39	11
Seq_119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	NA	100	100	100	100	100	81	13
Seq_120	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Oxalobacter	Oxalobacter_formigenes_B(RS_GCF_000158475_2)	100	100	100	100	100	65	65
Seq_121	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	100	100	100	95	66	49	20
Seq_122	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Massilibacteroides	Massilibacteroides_vaginae(RS_GCF_900178525_1)	100	100	100	100	100	62	62
Seq_123	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	99	99	99	98	30	27
Seq_124	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azoarcus	NA	100	100	100	100	90	54	23
Seq_125	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	100	100	100	99	31	31
Seq_126	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA	100	100	100	99	51	51	49
Seq_127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Azobacteroidaceae	Symbiothrix	Symbiothrix_dinenymphae(GB_GCA_001417715_1)	100	100	100	100	59	59	59
Seq_128	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	99	99	88	63	63	63
Seq_129	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	100	100	36	36	36	36	36
Seq_130	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium_sp000515315(RS_GCF_000515315_1)	100	100	100	100	100	63	63
Seq_131	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	90	54	16	6
Seq_132	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	100	100	38	38
Seq_133	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA	100	94	94	94	49	48	48
Seq_134	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Ereboglobus	Ereboglobus_luteus(RS_GCF_003096195_1)	100	100	100	100	100	100	100
Seq_135	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	UBA7640	UBA7640_sp002483765(GB_GCA_002483765_1)	100	90	90	90	90	90	90
Seq_136	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	99	99	97	33	27	27
Seq_137	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_asparagiformis(RS_GCF_000158075_1)	100	100	100	100	100	60	51
Seq_138	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	90	90	90	90	90	8
Seq_139	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	Firm-11	Firm-11_sp900540045(GB_GCA_900540045_1)	100	77	76	76	76	76	76
Seq_140	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	NA	100	100	100	99	99	57	18
Seq_141	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	NA	NA	NA	100	93	93	64	20	20	20
Seq_142	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	98	98	98	98	78	27
Seq_143	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	98	98	84	34	30	30
Seq_144	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	97	97	90	60	60	60
Seq_145	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia_sp004558535(GB_GCA_004558535_1)	100	57	57	57	57	57	57
Seq_146	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	OEMS01	OEMS01_sp900199405(RS_GCF_900199405_1)	100	65	59	59	59	59	59
Seq_147	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella_sp900546455(GB_GCA_900546455_1)	100	52	52	52	52	52	52
Seq_148	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	NA	NA	100	100	100	100	95	42	9
Seq_149	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium_cocleatum(RS_GCF_900102365_1)	100	100	100	100	100	100	80
Seq_150	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-488	CAG-488_sp900539465(GB_GCA_900539465_1)	100	100	100	100	96	76	76
Seq_151	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	100	100	100	100	100	100	0
Seq_152	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	89	89	89	87	73	31
Seq_153	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	NA	100	100	100	100	100	99	3
Seq_154	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	UMGS1490	UMGS1490_sp900548185(GB_GCA_900548185_1)	100	100	100	100	97	97	97
Seq_155	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	DSM-24629	Natranaerovirga	Natranaerovirga_hydrolytica(RS_GCF_004339095_1)	100	99	98	98	62	62	60
Seq_156	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	H1	H1_sp001653155(RS_GCF_001653155_1)	100	100	100	100	92	88	88
Seq_157	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	BACL12	UBA11426	UBA11426_sp003448375(GB_GCA_003448375_1)	100	97	97	97	64	64	64
Seq_158	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	100	16	14
Seq_159	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	NA	NA	100	100	100	97	75	28	28
Seq_160	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	100	64	62	20	6	6	6
Seq_161	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS363	UMGS363_sp900541495(GB_GCA_900541495_1)	100	100	100	100	100	99	99
Seq_162	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	AM07-15	AM07-15_sp003477405(RS_GCF_003477405_1)	100	98	98	98	77	74	74
Seq_163	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	100	100	100	100	97	2
Seq_164	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	92	91	75	63	63	61
Seq_165	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	97	97	95	79	79	76
Seq_166	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia_sp004558535(GB_GCA_004558535_1)	100	60	60	60	60	60	60
Seq_167	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriaceae	Kapabacteria	Kapabacteria_thiocyanatum(GB_GCA_001899175_1)	100	99	97	97	95	59	59
Seq_168	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	99	99	99	42	36
Seq_169	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA	100	100	100	100	80	26	9
Seq_170	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	NA	100	100	100	100	100	98	47
Seq_171	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA	100	100	100	99	33	33	15
Seq_172	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	NA	NA	NA	100	96	96	88	45	45	30
Seq_173	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_neonati(RS_GCF_000499785_1)	100	100	100	100	100	100	82
Seq_174	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_neopropionicum(RS_GCF_001571775_1)	100	96	96	92	62	62	54
