ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_85	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	99	99	99	96	95	45
Seq_86	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	93	93	85	85	75	75
Seq_87	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	rhizosphaerae	100	100	100	100	100	100	51
Seq_88	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	NA	100	100	100	100	99	87	49
Seq_89	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA	100	99	96	96	90	52	52
Seq_90	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	taiwanensis	100	100	100	100	100	100	54
Seq_91	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	NA	100	100	100	100	99	92	92
Seq_92	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Ereboglobus	NA	100	100	100	100	100	100	93
Seq_93	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	98	98	98	98
Seq_94	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	NA	100	94	94	94	94	87	87
Seq_95	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_96	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	keddieii	100	100	100	100	89	89	89
Seq_97	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	100	100	100	100	100	100	92
Seq_98	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Candidatus Tammella	NA	100	100	100	100	100	100	100
Seq_99	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	NA	100	100	100	100	100	96	95
Seq_100	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	84	83	76	76
Seq_101	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	100	93	92	92
Seq_102	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	97	71	71
Seq_103	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	NA	NA	100	98	98	97	93	92	92
Seq_104	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	62	46	45
Seq_105	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	NA	NA	NA	100	100	100	100	41	41	41
Seq_106	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	81	65	39	13	3	3
Seq_107	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	96	95	85	84	66	66
Seq_108	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	luteus	100	100	100	100	100	99	98
Seq_109	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	99	95	70	70
Seq_110	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	NA	100	100	100	100	100	63	60
Seq_111	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	sobria	100	100	100	99	99	99	56
Seq_112	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	99	98	98	98	98
Seq_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	100	100	95	91	25	17
Seq_114	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	BCf9-17 termite group	NA	100	100	100	100	100	100	100
Seq_115	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Silvimonas	NA	100	100	100	100	100	69	49
Seq_116	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	51	49	49
Seq_117	Bacteria	NA	NA	NA	NA	NA	NA	99	35	34	22	13	13	6
Seq_118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	99	90	90	31
Seq_119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	adhaerens	100	100	100	100	100	69	69
Seq_120	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	NA	100	100	100	100	100	100	100
Seq_121	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	100	100	100	98	51	10	6
Seq_122	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA	100	100	100	100	99	55	38
Seq_123	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	27	27
Seq_124	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	NA	100	100	100	100	100	61	61
Seq_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	100	100	99	99	16	9
Seq_126	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Candidatus Symbiothrix	NA	100	100	100	100	99	56	56
Seq_127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	100	52	52
Seq_128	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	87	87	66	66
Seq_129	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	cowanii	100	100	100	100	98	85	85
Seq_130	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	37	37
Seq_131	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	97	97	86	86	82	82
Seq_132	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ruminantium group	NA	100	100	100	100	100	56	56
Seq_133	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Propionivibrio	NA	100	100	100	99	66	63	53
Seq_134	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Ereboglobus	NA	100	100	100	100	100	100	90
Seq_135	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	NA	NA	100	100	100	100	100	100	100
Seq_136	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	BCf9-17 termite group	NA	100	100	100	100	99	99	99
Seq_137	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	100	100	24	21
Seq_138	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	aureus	100	100	100	100	100	100	100
Seq_139	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	85	85	85	85
Seq_140	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	NA	100	100	100	100	100	76	75
Seq_141	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	89	87	20	13	13	3
Seq_142	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	97	34
Seq_143	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	BCf9-17 termite group	NA	100	100	100	100	100	100	100
Seq_144	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	99	99	88	88	65	65
Seq_145	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	99	96	95	95	95	95
Seq_146	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	99	98	98	98	98
Seq_147	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA	NA	100	100	95	68	68	59	59
Seq_148	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	NA	NA	NA	100	100	100	100	34	34	34
Seq_149	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	NA	100	100	100	100	100	99	87
Seq_150	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	100	100	100	100	94	94	94
Seq_151	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	oralis	100	100	100	100	100	100	50
Seq_152	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	cuneatus	100	100	100	100	100	100	73
Seq_153	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	pratensis	100	100	100	100	100	100	73
Seq_154	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	NA	100	97	97	95	95	53	41
Seq_155	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	98	98	95	95
Seq_156	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	NA	100	100	100	100	99	47	47
Seq_157	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	98	45	45
Seq_158	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA	100	100	100	100	36	26	17
Seq_159	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	100	100	100	99
Seq_160	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	94	71	48	38	38	38
Seq_161	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	100	100	100	100	96	95	95
Seq_162	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	100	100	55	15	10
Seq_163	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	19
Seq_164	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	99	97	66	65	56	56
Seq_165	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	99	93	92	88	88
Seq_166	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	97	97	97	97
Seq_167	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_168	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	NA	100	100	100	100	84	81	37
Seq_169	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	97	67	67
Seq_170	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	NA	100	100	100	100	99	94	62
Seq_171	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	79	68	68
Seq_172	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	100	100	100	100
Seq_173	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	68
Seq_174	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	95	95	87	86	67	67
Seq_175	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	56
Seq_176	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	99	96	91	77	49	47
Seq_177	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	M2PB4-61 termite group	NA	100	100	100	100	99	98	98
Seq_178	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	97	95	87	87	63	63
Seq_179	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	95	94	80	79	71	71
Seq_180	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	97	97	97	97	79	79
Seq_181	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	88	78	57	52	37	37
Seq_182	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	100	99	99	97	86	12	11
Seq_183	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	100	53	53
Seq_184	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	NA	NA	100	100	100	57	29	20	20
Seq_185	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	NA	100	94	94	83	81	66	66
Seq_186	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	40
Seq_187	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA	100	100	100	100	100	100	100
Seq_188	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	NA	100	99	99	99	99	97	88
Seq_189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	100	100	100	90	90	21	21
Seq_190	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	xylanexedens	100	100	100	100	100	100	100
Seq_191	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_192	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	coli	100	100	100	100	100	100	100
Seq_193	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	98	90	80	80
Seq_194	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	100	100	100	100	100	49
Seq_195	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	M2PB4-61 termite group	NA	100	100	100	100	100	100	100
Seq_196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	NA	NA	100	100	100	100	99	46	46
Seq_197	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Diplosphaera	NA	100	100	100	100	100	98	83
